CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFM_segment,RFM_score,RFM_class
12473.0,29,167,3928.0499999999997,4,5,5,455,14,platinum
12474.0,17,422,7324.09,4,5,5,455,14,platinum
12475.0,54,36,723.38,3,3,3,333,9,gold
12476.0,16,233,6816.42,4,5,5,455,14,platinum
12477.0,23,300,13219.74,4,5,5,455,14,platinum
12478.0,4,36,680.99,5,3,3,533,11,gold
12479.0,11,31,527.2,5,3,3,533,11,gold
12480.0,28,154,3281.63,4,5,5,455,14,platinum
12481.0,23,216,5579.82,4,5,5,455,14,platinum
12483.0,17,75,2484.98,4,4,5,445,13,platinum
12484.0,33,343,4527.32,4,5,5,455,14,platinum
12488.0,10,55,1298.66,5,3,4,534,12,platinum
12489.0,336,15,334.93,1,2,2,122,5,silver
12490.0,5,245,5417.93,5,5,5,555,15,platinum
12491.0,39,26,460.40000000000003,3,2,2,322,7,silver
12492.0,63,20,263.21000000000004,3,2,2,322,7,silver
12493.0,166,22,433.74,2,2,2,222,6,silver
12494.0,16,77,1246.1000000000001,4,4,4,444,12,platinum
12497.0,82,14,1043.1,2,1,4,214,7,silver
12498.0,21,23,403.70000000000005,4,2,2,422,8,gold
12500.0,23,61,4257.82,4,4,5,445,13,platinum
12501.0,337,149,2169.39,1,5,5,155,11,gold
12502.0,96,147,3723.87,2,5,5,255,12,platinum
12504.0,18,9,482.04999999999995,4,1,2,412,7,silver
12506.0,233,23,73.5,1,2,1,121,4,silver
12507.0,134,21,1304.81,2,2,4,224,8,gold
12508.0,26,68,397.88,4,4,2,442,10,gold
12509.0,284,7,176.5,1,1,1,111,3,silver
12510.0,143,33,982.5699999999999,2,3,4,234,9,gold
12512.0,66,31,132.18,3,3,1,331,7,silver
12513.0,113,35,612.29,2,3,3,233,8,gold
12514.0,267,51,1017.68,1,3,4,134,8,gold
12515.0,353,16,383.7,1,2,2,122,5,silver
12516.0,78,26,1312.06,2,2,4,224,8,gold
12517.0,28,279,2481.6,4,5,5,455,14,platinum
12518.0,1,124,2056.89,5,5,5,555,15,platinum
12519.0,64,17,330.84,3,2,2,322,7,silver
12520.0,79,152,2634.26,2,5,5,255,12,platinum
12521.0,143,38,599.68,2,3,3,233,8,gold
12522.0,39,12,192.72,3,1,1,311,5,silver
12523.0,19,106,1789.77,4,4,4,444,12,platinum
12524.0,9,144,4485.72,5,5,5,555,15,platinum
12526.0,1,71,1316.66,5,4,4,544,13,platinum
12527.0,82,18,348.71000000000004,2,2,2,222,6,silver
12528.0,9,92,1933.48,5,4,4,544,13,platinum
12530.0,60,66,1662.28,3,4,4,344,11,gold
12531.0,15,17,125.22,4,2,1,421,7,silver
12532.0,30,16,349.83000000000004,4,2,2,422,8,gold
12534.0,131,63,1089.18,2,4,4,244,10,gold
12535.0,92,34,716.35,2,3,3,233,8,gold
12536.0,43,261,12601.830000000002,3,5,5,355,13,platinum
12538.0,29,21,363.95,4,2,2,422,8,gold
12539.0,22,273,5568.35,4,5,5,455,14,platinum
12540.0,20,478,13400.24,4,5,5,455,14,platinum
12541.0,30,52,981.18,4,3,4,434,11,gold
12544.0,36,19,372.7,3,2,2,322,7,silver
12545.0,75,50,1000.39,2,3,4,234,9,gold
12546.0,47,69,1161.5,3,4,4,344,11,gold
12547.0,198,8,207.79999999999998,1,1,1,111,3,silver
12548.0,166,5,95.19999999999999,2,1,1,211,4,silver
12550.0,79,57,964.83,2,3,4,234,9,gold
12551.0,358,10,168.0,1,1,1,111,3,silver
12552.0,39,20,437.82,3,2,2,322,7,silver
12553.0,8,191,3692.28,5,5,5,555,15,platinum
12556.0,50,119,599.56,3,4,3,343,10,gold
12557.0,16,33,11990.960000000001,4,3,5,435,12,platinum
12558.0,8,11,269.96,5,1,2,512,8,gold
12559.0,311,21,561.71,1,2,3,123,6,silver
12560.0,5,105,2134.01,5,4,5,545,14,platinum
12561.0,303,16,238.85,1,2,1,121,4,silver
12562.0,8,168,3781.7400000000002,5,5,5,555,15,platinum
12564.0,261,21,456.9,1,2,2,122,5,silver
12565.0,289,9,145.92,1,1,1,111,3,silver
12566.0,86,19,351.65,2,2,2,222,6,silver
12567.0,23,446,9401.28,4,5,5,455,14,platinum
12569.0,2,188,4124.69,5,5,5,555,15,platinum
12571.0,40,34,519.61,3,3,3,333,9,gold
12572.0,9,60,1020.42,5,4,4,544,13,platinum
12573.0,227,28,160.54000000000002,1,2,1,121,4,silver
12574.0,316,11,218.45,1,1,1,111,3,silver
12576.0,36,88,1315.83,3,4,4,344,11,gold
12577.0,35,146,626.6,3,5,3,353,11,gold
12578.0,21,114,2794.51,4,4,5,445,13,platinum
12579.0,78,29,440.42,2,2,2,222,6,silver
12580.0,247,24,415.7,1,2,2,122,5,silver
12581.0,40,15,197.71,3,2,1,321,6,silver
12582.0,239,22,511.36,1,2,3,123,6,silver
12583.0,3,247,7281.38,5,5,5,555,15,platinum
12584.0,4,96,2338.15,5,4,5,545,14,platinum
12585.0,234,87,2040.1,1,4,4,144,9,gold
12586.0,17,11,196.94000000000003,4,1,1,411,6,silver
12587.0,8,4,144.0,5,1,1,511,7,silver
12588.0,39,10,214.89999999999998,3,1,1,311,5,silver
12589.0,29,35,646.68,4,3,3,433,10,gold
12590.0,211,68,9864.26,1,4,5,145,10,gold
12591.0,317,26,452.84999999999997,1,2,2,122,5,silver
12592.0,92,18,437.6,2,2,2,222,6,silver
12593.0,109,21,418.09999999999997,2,2,2,222,6,silver
12594.0,38,118,3338.2200000000003,3,4,5,345,12,platinum
12596.0,51,27,618.27,3,2,3,323,8,gold
12597.0,19,206,3811.22,4,5,5,455,14,platinum
12598.0,10,132,3023.08,5,5,5,555,15,platinum
12599.0,29,62,1032.58,4,4,4,444,12,platinum
12600.0,29,64,2599.04,4,4,5,445,13,platinum
12601.0,190,28,577.0600000000001,1,2,3,123,6,silver
12602.0,59,12,153.12,3,1,1,311,5,silver
12603.0,22,2,739.1999999999999,4,1,3,413,8,gold
12604.0,79,16,254.18,2,2,2,222,6,silver
12607.0,60,101,1579.51,3,4,4,344,11,gold
12609.0,78,60,1126.85,2,4,4,244,10,gold
12610.0,23,106,2099.54,4,4,5,445,13,platinum
12611.0,52,65,1193.32,3,4,4,344,11,gold
12612.0,74,19,704.0400000000001,2,2,3,223,7,silver
12613.0,57,153,3344.38,3,5,5,355,13,platinum
12614.0,278,20,315.6,1,2,2,122,5,silver
12615.0,2,105,2291.19,5,4,5,545,14,platinum
12616.0,95,32,713.3,2,3,3,233,8,gold
12617.0,29,41,352.98,4,3,2,432,9,gold
12618.0,22,11,177.31,4,1,1,411,6,silver
12619.0,16,90,3641.24,4,4,5,445,13,platinum
12620.0,15,92,1339.41,4,4,4,444,12,platinum
12621.0,2,467,13689.67,5,5,5,555,15,platinum
12622.0,232,11,180.1,1,1,1,111,3,silver
12623.0,276,18,305.1,1,2,2,122,5,silver
12624.0,106,38,641.13,2,3,3,233,8,gold
12625.0,212,86,2683.82,1,4,5,145,10,gold
12626.0,23,294,6620.48,4,5,5,455,14,platinum
12627.0,11,230,4478.53,5,5,5,555,15,platinum
12628.0,4,41,786.46,5,3,3,533,11,gold
12630.0,10,64,1270.88,5,4,4,544,13,platinum
12631.0,57,31,640.5,3,3,3,333,9,gold
12633.0,59,101,2163.98,3,4,5,345,12,platinum
12635.0,90,101,1689.18,2,4,4,244,10,gold
12637.0,67,382,6002.9,3,5,5,355,13,platinum
12638.0,33,39,671.69,4,3,3,433,10,gold
12639.0,239,22,486.1,1,2,2,122,5,silver
12640.0,24,53,1174.58,4,3,4,434,11,gold
12641.0,115,10,185.9,2,1,1,211,4,silver
12642.0,25,47,1013.26,4,3,4,434,11,gold
12643.0,128,24,3344.64,2,2,5,225,9,gold
12644.0,130,31,477.91,2,3,2,232,7,silver
12645.0,34,73,1775.18,3,4,4,344,11,gold
12646.0,5,45,1346.97,5,3,4,534,12,platinum
12647.0,22,121,3722.82,4,5,5,455,14,platinum
12648.0,155,21,318.05,2,2,2,222,6,silver
12649.0,107,31,623.51,2,3,3,233,8,gold
12650.0,3,20,314.44,5,2,2,522,9,gold
12651.0,335,9,114.0,1,1,1,111,3,silver
12652.0,331,48,919.98,1,3,3,133,7,silver
12653.0,149,43,2209.85,2,3,5,235,10,gold
12654.0,11,38,601.98,5,3,3,533,11,gold
12656.0,17,126,4051.17,4,5,5,455,14,platinum
12657.0,11,47,1643.18,5,3,4,534,12,platinum
12658.0,19,36,686.05,4,3,3,433,10,gold
12659.0,30,5,91.68,4,1,1,411,6,silver
12660.0,11,13,245.1,5,1,1,511,7,silver
12662.0,1,230,3849.78,5,5,5,555,15,platinum
12664.0,8,37,4881.88,5,3,5,535,13,platinum
12665.0,325,3,63.0,1,1,1,111,3,silver
12667.0,58,33,620.13,3,3,3,333,9,gold
12668.0,12,161,3807.15,5,5,5,555,15,platinum
12669.0,151,101,2744.0299999999997,2,4,5,245,11,gold
12670.0,10,92,2996.05,5,4,5,545,14,platinum
12672.0,330,10,225.89999999999998,1,1,1,111,3,silver
12673.0,5,42,610.52,5,3,3,533,11,gold
12674.0,39,83,1970.6,3,4,4,344,11,gold
12676.0,25,45,1331.39,4,3,4,434,11,gold
12678.0,42,165,17628.46,3,5,5,355,13,platinum
12679.0,59,48,1113.02,3,3,4,334,10,gold
12680.0,1,52,862.81,5,3,3,533,11,gold
12681.0,15,638,13787.54,4,5,5,455,14,platinum
12682.0,4,524,12279.82,5,5,5,555,15,platinum
12683.0,4,344,8476.57,5,5,5,555,15,platinum
12684.0,8,105,2283.63,5,4,5,545,14,platinum
12685.0,28,157,2863.08,4,5,5,455,14,platinum
12686.0,372,7,89.14,1,1,1,111,3,silver
12688.0,114,171,4873.8099999999995,2,5,5,255,12,platinum
12689.0,26,72,1247.61,4,4,4,444,12,platinum
12690.0,206,16,389.01,1,2,2,122,5,silver
12691.0,28,32,1035.8,4,3,4,434,11,gold
12693.0,127,39,855.91,2,3,3,233,8,gold
12694.0,70,37,869.67,3,3,3,333,9,gold
12695.0,7,27,582.1,5,2,3,523,10,gold
12697.0,29,41,957.59,4,3,4,434,11,gold
12700.0,8,268,4939.99,5,5,5,555,15,platinum
12701.0,80,53,797.71,2,3,3,233,8,gold
12702.0,20,12,219.0,4,1,1,411,6,silver
12703.0,71,21,283.55,3,2,2,322,7,silver
12704.0,7,88,2340.84,5,4,5,545,14,platinum
12705.0,15,334,6868.29,4,5,5,455,14,platinum
12707.0,292,33,603.42,1,3,3,133,7,silver
12708.0,30,157,2712.91,4,5,5,455,14,platinum
12709.0,15,207,9706.52,4,5,5,455,14,platinum
12710.0,97,77,1149.02,2,4,4,244,10,gold
12712.0,29,133,4396.13,4,5,5,455,14,platinum
12713.0,1,38,848.55,5,3,3,533,11,gold
12714.0,9,259,4708.86,5,5,5,555,15,platinum
12715.0,106,20,343.36,2,2,2,222,6,silver
12716.0,4,69,1053.49,5,4,4,544,13,platinum
12717.0,151,55,1030.98,2,3,4,234,9,gold
12718.0,71,19,238.25,3,2,1,321,6,silver
12719.0,5,39,644.95,5,3,3,533,11,gold
12720.0,3,354,5781.73,5,5,5,555,15,platinum
12721.0,32,161,2656.13,4,5,5,455,14,platinum
12722.0,85,53,997.63,2,3,4,234,9,gold
12723.0,4,69,725.07,5,4,3,543,12,platinum
12724.0,5,53,1031.41,5,3,4,534,12,platinum
12725.0,371,24,427.8,1,2,2,122,5,silver
12726.0,28,124,2609.1,4,5,5,455,14,platinum
12727.0,11,139,3980.7,5,5,5,555,15,platinum
12728.0,71,46,836.33,3,3,3,333,9,gold
12729.0,114,26,453.01,2,2,2,222,6,silver
12731.0,24,274,18895.91,4,5,5,455,14,platinum
12732.0,180,12,236.26000000000002,1,1,1,111,3,silver
12733.0,234,22,383.95,1,2,2,122,5,silver
12734.0,353,4,110.39999999999999,1,1,1,111,3,silver
12735.0,315,43,779.5699999999999,1,3,3,133,7,silver
12736.0,333,4,234.0,1,1,1,111,3,silver
12738.0,372,11,155.35,1,1,1,111,3,silver
12739.0,78,38,1013.04,2,3,4,234,9,gold
12740.0,64,27,427.6,3,2,2,322,7,silver
12743.0,134,131,540.13,2,5,3,253,10,gold
12744.0,52,222,21279.29,3,5,5,355,13,platinum
12747.0,2,103,4196.01,5,4,5,545,14,platinum
12748.0,1,4412,33053.19,5,5,5,555,15,platinum
12749.0,4,199,4090.88,5,5,5,555,15,platinum
12750.0,129,15,275.88,2,2,2,222,6,silver
12752.0,81,53,4366.78,2,3,5,235,10,gold
12753.0,23,197,21429.39,4,5,5,455,14,platinum
12754.0,236,63,3010.74,1,4,5,145,10,gold
12755.0,281,4,3811.95,1,1,5,115,7,silver
12756.0,87,4,112.07999999999998,2,1,1,211,4,silver
12757.0,16,364,7834.650000000001,4,5,5,455,14,platinum
12758.0,117,97,2791.59,2,4,5,245,11,gold
12759.0,52,95,1531.44,3,4,4,344,11,gold
12762.0,8,69,1898.52,5,4,4,544,13,platinum
12763.0,138,18,494.08,2,2,3,223,7,silver
12764.0,317,45,1693.88,1,3,4,134,8,gold
12766.0,4,310,6989.63,5,5,5,555,15,platinum
12769.0,239,32,1143.6,1,3,4,134,8,gold
12770.0,211,12,1351.45,1,1,4,114,6,silver
12772.0,60,55,892.47,3,3,3,333,9,gold
12775.0,17,66,1386.04,4,4,4,444,12,platinum
12778.0,20,50,822.23,4,3,3,433,10,gold
12779.0,38,149,3981.36,3,5,5,355,13,platinum
12781.0,64,25,826.74,3,2,3,323,8,gold
12782.0,5,103,2330.92,5,4,5,545,14,platinum
12783.0,2,84,2225.91,5,4,5,545,14,platinum
12784.0,9,57,532.8199999999999,5,3,3,533,11,gold
12785.0,364,14,311.95,1,1,2,112,4,silver
12787.0,10,20,463.66,5,2,2,522,9,gold
12789.0,65,4,91.85,3,1,1,311,5,silver
12790.0,192,21,324.92,1,2,2,122,5,silver
12791.0,374,2,192.60000000000002,1,1,1,111,3,silver
12792.0,257,25,400.53999999999996,1,2,2,122,5,silver
12793.0,335,24,545.48,1,2,3,123,6,silver
12794.0,53,45,860.41,3,3,3,333,9,gold
12795.0,19,14,430.48,4,1,2,412,7,silver
12797.0,366,13,254.03,1,1,2,112,4,silver
12798.0,10,8,6977.04,5,1,5,515,11,gold
12802.0,187,25,427.58,1,2,2,122,5,silver
12808.0,37,28,483.65000000000003,3,2,2,322,7,silver
12809.0,178,25,489.31,2,2,3,223,7,silver
12811.0,261,31,514.85,1,3,3,133,7,silver
12812.0,45,15,229.64000000000001,3,2,1,321,6,silver
12814.0,102,2,125.92,2,1,1,211,4,silver
12815.0,148,47,1063.46,2,3,4,234,9,gold
12816.0,96,29,572.2,2,2,3,223,7,silver
12817.0,281,4,166.04,1,1,1,111,3,silver
12818.0,262,14,1542.08,1,1,4,114,6,silver
12820.0,3,59,942.34,5,4,4,544,13,platinum
12821.0,214,6,92.72,1,1,1,111,3,silver
12822.0,71,46,948.88,3,3,4,334,10,gold
12823.0,75,5,1759.5,2,1,4,214,7,silver
12824.0,60,25,397.12,3,2,2,322,7,silver
12826.0,3,91,1474.72,5,4,4,544,13,platinum
12827.0,6,25,430.15000000000003,5,2,2,522,9,gold
12828.0,3,56,1018.71,5,3,4,534,12,platinum
12829.0,337,11,293.0,1,1,2,112,4,silver
12830.0,38,38,6814.64,3,3,5,335,11,gold
12831.0,262,9,215.05,1,1,1,111,3,silver
12832.0,32,27,383.03,4,2,2,422,8,gold
12833.0,145,24,417.38,2,2,2,222,6,silver
12834.0,283,18,312.38,1,2,2,122,5,silver
12836.0,59,174,2610.36,3,5,5,355,13,platinum
12837.0,173,12,134.1,2,1,1,211,4,silver
12838.0,34,120,671.95,3,4,3,343,10,gold
12839.0,3,314,5591.42,5,5,5,555,15,platinum
12840.0,144,113,2726.77,2,4,5,245,11,gold
12841.0,5,414,3991.58,5,5,5,555,15,platinum
12842.0,70,34,1118.99,3,3,4,334,10,gold
12843.0,66,103,1702.26,3,4,4,344,11,gold
12844.0,29,52,325.96000000000004,4,3,2,432,9,gold
12845.0,267,27,354.09,1,2,2,122,5,silver
12847.0,22,84,843.64,4,4,3,443,11,gold
12849.0,31,48,1010.29,4,3,4,434,11,gold
12851.0,97,47,131.81,2,3,1,231,6,silver
12852.0,295,17,311.55,1,2,2,122,5,silver
12853.0,135,78,1957.1000000000001,2,4,4,244,10,gold
12854.0,79,109,1316.25,2,4,4,244,10,gold
12855.0,373,3,38.1,1,1,1,111,3,silver
12856.0,8,311,2170.78,5,5,5,555,15,platinum
12857.0,211,46,1106.4,1,3,4,134,8,gold
12863.0,52,5,521.2,3,1,3,313,7,silver
12864.0,138,3,147.12,2,1,1,211,4,silver
12865.0,26,95,1568.23,4,4,4,444,12,platinum
12866.0,283,26,559.12,1,2,3,123,6,silver
12867.0,26,534,4009.34,4,5,5,455,14,platinum
12868.0,186,107,1607.0600000000002,1,4,4,144,9,gold
12871.0,84,11,380.64,2,1,2,212,5,silver
12872.0,327,66,599.97,1,4,3,143,8,gold
12873.0,282,4,374.0,1,1,2,112,4,silver
12875.0,143,2,343.2300000000001,2,1,2,212,5,silver
12876.0,58,85,2218.02,3,4,5,345,12,platinum
12877.0,4,154,1535.77,5,5,4,554,14,platinum
12878.0,236,47,854.99,1,3,3,133,7,silver
12879.0,45,10,573.22,3,1,3,313,7,silver
12881.0,276,7,298.0,1,1,2,112,4,silver
12882.0,9,13,1463.04,5,1,4,514,10,gold
12883.0,25,42,703.47,4,3,3,433,10,gold
12884.0,88,7,309.05,2,1,2,212,5,silver
12885.0,63,71,1175.22,3,4,4,344,11,gold
12886.0,68,82,1378.4,3,4,4,344,11,gold
12888.0,214,5,354.12,1,1,2,112,4,silver
12890.0,24,79,376.71999999999997,4,4,2,442,10,gold
12891.0,186,3,331.0,1,1,2,112,4,silver
12893.0,31,31,176.55,4,3,1,431,8,gold
12895.0,42,22,372.8,3,2,2,322,7,silver
12897.0,205,4,216.5,1,1,1,111,3,silver
12901.0,9,116,17654.54,5,4,5,545,14,platinum
12902.0,265,10,138.68,1,1,1,111,3,silver
12904.0,18,71,496.06,4,4,3,443,11,gold
12906.0,12,63,2919.81,5,4,5,545,14,platinum
12908.0,176,2,750.0,2,1,3,213,6,silver
12909.0,40,91,2178.67,3,4,5,345,12,platinum
12910.0,23,75,3075.04,4,4,5,445,13,platinum
12912.0,3,24,1662.3,5,2,4,524,11,gold
12913.0,5,50,2483.63,5,3,5,535,13,platinum
12915.0,149,22,363.65,2,2,2,222,6,silver
12916.0,139,103,2944.95,2,4,5,245,11,gold
12917.0,128,2,594.0,2,1,3,213,6,silver
12919.0,8,50,1335.19,5,3,4,534,12,platinum
12920.0,17,27,162.78,4,2,1,421,7,silver
12921.0,9,720,16587.09,5,5,5,555,15,platinum
12922.0,161,28,405.38,2,2,2,222,6,silver
12923.0,64,28,172.82,3,2,1,321,6,silver
12924.0,88,30,933.7,2,3,4,234,9,gold
12925.0,5,45,694.05,5,3,3,533,11,gold
12928.0,35,84,2062.7000000000003,3,4,5,345,12,platinum
12929.0,312,8,117.85,1,1,1,111,3,silver
12930.0,78,25,415.8,2,2,2,222,6,silver
12931.0,22,82,42055.96,4,4,5,445,13,platinum
12933.0,24,106,607.53,4,4,3,443,11,gold
12935.0,2,129,2160.7,5,5,5,555,15,platinum
12936.0,17,62,1063.9,4,4,4,444,12,platinum
12937.0,15,120,1504.27,4,4,4,444,12,platinum
12938.0,26,9,114.14,4,1,1,411,6,silver
12939.0,64,47,11581.8,3,3,5,335,11,gold
12940.0,55,96,899.69,3,4,3,343,10,gold
12942.0,131,70,675.6,2,4,3,243,9,gold
12944.0,36,30,604.51,3,3,3,333,9,gold
12945.0,288,23,462.95,1,2,2,122,5,silver
12947.0,144,97,1603.99,2,4,4,244,10,gold
12948.0,16,116,2064.95,4,4,5,445,13,platinum
12949.0,31,215,4167.22,4,5,5,455,14,platinum
12950.0,2,23,1843.0,5,2,4,524,11,gold
12951.0,9,63,1064.07,5,4,4,544,13,platinum
12952.0,6,79,1387.79,5,4,4,544,13,platinum
12953.0,10,17,329.85,5,2,2,522,9,gold
12955.0,1,180,4757.16,5,5,5,555,15,platinum
12956.0,306,19,108.07,1,2,1,121,4,silver
12957.0,10,238,4017.54,5,5,5,555,15,platinum
12962.0,7,16,266.39,5,2,2,522,9,gold
12963.0,8,95,1856.63,5,4,4,544,13,platinum
12965.0,89,108,769.8100000000001,2,4,3,243,9,gold
12966.0,10,10,160.18,5,1,1,511,7,silver
12967.0,358,19,1660.9,1,2,4,124,7,silver
12968.0,112,5,135.95,2,1,1,211,4,silver
12970.0,7,129,405.47,5,5,2,552,12,platinum
12971.0,4,305,11189.91,5,5,5,555,15,platinum
12974.0,198,8,144.8,1,1,1,111,3,silver
12976.0,212,22,738.6,1,2,3,123,6,silver
12977.0,156,9,39.239999999999995,2,1,1,211,4,silver
12980.0,158,20,7374.900000000001,2,2,5,225,9,gold
12981.0,30,20,372.21999999999997,4,2,2,422,8,gold
12982.0,243,28,390.54,1,2,2,122,5,silver
12984.0,19,4,97.5,4,1,1,411,6,silver
12985.0,1,76,1239.38,5,4,4,544,13,platinum
12987.0,74,28,558.7,2,2,3,223,7,silver
12988.0,292,83,505.82,1,4,3,143,8,gold
12989.0,3,64,6924.110000000001,5,4,5,545,14,platinum
12990.0,31,13,409.5,4,1,2,412,7,silver
12991.0,23,31,503.76,4,3,3,433,10,gold
12993.0,23,27,414.76,4,2,2,422,8,gold
12994.0,4,61,974.4200000000001,5,4,4,544,13,platinum
12995.0,85,3,211.32,2,1,1,211,4,silver
12997.0,22,59,1226.89,4,4,4,444,12,platinum
12999.0,196,28,455.88,1,2,2,122,5,silver
13000.0,107,31,534.85,2,3,3,233,8,gold
13001.0,4,337,9785.970000000001,5,5,5,555,15,platinum
13002.0,318,7,120.94999999999999,1,1,1,111,3,silver
13003.0,106,6,149.05,2,1,1,211,4,silver
13004.0,12,404,5655.91,5,5,5,555,15,platinum
13005.0,174,26,513.7,2,2,3,223,7,silver
13006.0,56,4,81.57,3,1,1,311,5,silver
13008.0,323,14,229.46999999999997,1,1,1,111,3,silver
13011.0,372,3,50.550000000000004,1,1,1,111,3,silver
