"고정형CCTV지번주소","위도","경도","자치구","단속지점명","현장구분"
"서울 양천구 신정동 170-45","37.509904","126.868477","양천구","신정7동 갈산자이아파트 앞","불법주정차구역"
"방배본동 19-3","37.49549785","126.9888396","서초구","서래초병설유치원주변","불법주정차구역"
"방배1동 906-13","37.48356591","126.9970697","서초구","서리풀e편한세상APT 주변","불법주정차구역"
"방배1동 906-16","37.4845306","126.9974125","서초구","서리풀e편한세상APT2번출구주변","불법주정차구역"
"반포4동 51-5","37.50127691","127.0113111","서초구","서석빌딩사거리 주변","불법주정차구역"
"서초2동 1325-1","37.49308529","127.0241546","서초구","서운중학교뒷길 주변","불법주정차구역"
"양재1동 25-3","37.48150364","127.0370513","서초구","서울가정행정법원 주변","불법주정차구역"
"서초1동 1627-1","37.48902738","127.0167153","서초구","서울교대정문주변","불법주정차구역"
"방배2동 447-7","37.47682838","126.9847732","서초구","서울메트로뒷길 주변","불법주정차구역"
"서초3동 1704","37.49471875","127.0102979","서초구","서울중앙법원주변","불법주정차구역"
"내곡동 (신원동) 247","37.44782281","127.0574218","서초구","서울청계숲유치원주변","불법주정차구역"
"반포1동 30-8","37.50183789","127.0154882","서초구","서원초등학교 주변","불법주정차구역"
"반포1동 30-8","37.5025285","127.0141802","서초구","서원초등학교 후문주변","불법주정차구역"
"서초4동 1313","37.49847969","127.023503","서초구","서일중학교 주변","불법주정차구역"
"서초1동 1436-8","37.48474749","127.0235212","서초구","서일초교 후문주변","불법주정차구역"
"서초1동 1436-8","37.48466208","127.0220002","서초구","서일초등학교 주변","불법주정차구역"
"서울 양천구 신월1동 97-23","37.535257","126.830421","양천구","신월1동 신진빌라 앞","불법주정차구역"
"서울 양천구 목4동 768-5","37.536176","126.867045","양천구","목4동 강서고등학교 담장 옆","불법주정차구역"
"서울 양천구 목2동 507-2","37.546704","126.871615","양천구","목2동 강서농협 앞 삼거리","불법주정차구역"
"방배1동 908-9","37.48216683","126.9972375","서초구","서초프라자약국주변","불법주정차구역"
"서초3동 1454-32","37.48265919","127.0149745","서초구","서초한신APT102동주변","불법주정차구역"
"양재1동 594-20","37.45748485","127.0149641","서초구","서초힐스아파트삼거리주변","불법주정차구역"
"서초1동 1641-13","37.49323481","127.0213424","서초구","석문유치원주변","불법주정차구역"
"서초4동 1692-1","37.49453404","127.0141669","서초구","설국일식 주변","불법주정차구역"
"양재1동 729","37.46274042","127.0268234","서초구","섬들근린공원주변","불법주정차구역"
"방배2동 425-1","37.48436225","126.9829792","서초구","세양아르비채 주변","불법주정차구역"
"반포4동 118-15","37.50340053","127.0060592","서초구","센트럴시티 버스정류장주변","불법주정차구역"
"양재2동 288","37.47447453","127.0479235","서초구","소호정신관주변","불법주정차구역"
"반포4동 93-6","37.49930382","126.9983302","서초구","스타벅스 부근","불법주정차구역"
"반포1동 748-14","37.50423467","127.0235124","서초구","신논현역1번출구주변","불법주정차구역"
"잠원동 54-5","37.51627419","127.0119599","서초구","신동초등학교 주변","불법주정차구역"
"서초2동 1339-4","37.4898035","127.0304243","서초구","신라스테이호텔주변","불법주정차구역"
"반포4동 94-8","37.49866124","126.9983968","서초구","신명성온누리약국주변","불법주정차구역"
"잠원동 49-17","37.52076683","127.0136495","서초구","신반포 18차 APT 토끼굴 부근","불법주정차구역"
"반포2동 18-4","37.50319322","126.9952275","서초구","신반포역4번출구주변","불법주정차구역"
"반포3동 66","37.50985598","127.0076644","서초구","신반포자이 정문주변","불법주정차구역"
"반포3동 66-10","37.50867679","127.0083134","서초구","신반포자이 타이어프로주변","불법주정차구역"
"잠원동 60-79","37.51036972","127.0127608","서초구","신반포중앙유치원주변","불법주정차구역"
"잠원동 20-6","37.51558087","127.0196919","서초구","신사역4번출구 주변","불법주정차구역"
"반포4동 19-3","37.50592469","127.0043518","서초구","신세계백화점앞 주변","불법주정차구역"
"서초3동 1596-6","37.48780889","127.0127467","서초구","신영빌딩 주변","불법주정차구역"
"서초3동 1484-14","37.4821313","127.01052","서초구","신중어린이공원주변","불법주정차구역"
"서초3동 1466-5","37.48041344","127.010568","서초구","신중초등학교정문주변","불법주정차구역"
"잠원동 25-24","37.51362071","127.0182325","서초구","싸리재공원 삼거리 부근","불법주정차구역"
"잠원동 30-10","37.51366527","127.018562","서초구","싸리재공원 주변","불법주정차구역"
"방배4동 860-6","37.48796971","126.9870586","서초구","아가야어린이집주변","불법주정차구역"
"서초3동 1554-5","37.49291343","127.0110802","서초구","아스트라빌딩 주변","불법주정차구역"
"잠원동 64-8","37.51351894","127.0067169","서초구","아크로리버뷰 102동주변1","불법주정차구역"
"잠원동 64-8","37.51508925","127.008321","서초구","아크로리버뷰 104동주변2","불법주정차구역"
"서초4동 1685-3","37.49675846","127.0129838","서초구","아크로비스타 주변","불법주정차구역"
"반포1동 32-8","37.49943522","127.0124814","서초구","아크로비스타아케이드주변","불법주정차구역"
"서초2동 1329-9","37.49282865","127.0292378","서초구","알파약국 주변","불법주정차구역"
"양재2동 309","37.47296744","127.0421538","서초구","양재근린공원주변","불법주정차구역"
"양재1동 84","37.48085922","127.0420262","서초구","양재동삼성화재주변","불법주정차구역"
"양재1동 11-149","37.48495636","127.037474","서초구","양재동우체국주변","불법주정차구역"
"양재2동 212","37.46615286","127.0363235","서초구","양재리본타워2단지앞주변","불법주정차구역"
"서울 양천구 신월1동 110-29","37.531543","126.833822","양천구","신월1동 태헌아파트 앞","불법주정차구역"
"서울 양천구 목4동 790-21","37.532637","126.865482","양천구","목4동 일우자동차공업사 건너편","불법주정차구역"
"서울 양천구 목5동 911-1","37.536917","126.886941","양천구","목5동 이대목동병원 앞","불법주정차구역"
"서울 양천구 신정4동 947-4","37.524711","126.854485","양천구","신정4동 신정역5번출구","불법주정차구역"
"서울 양천구 신월5동 81-15","37.536363","126.830799","양천구","신월5동 이지스오토랩 앞","불법주정차구역"
"서울 양천구 신월4동 533-1","37.520914","126.842715","양천구","신월4동 금용아파트 앞","불법주정차구역"
"서울 양천구 신정4동 907-11","37.525569","126.860096","양천구","신정4동 목동예치과","불법주정차구역"
"서울 양천구 목4동 760-26","37.537724","126.868834","양천구","목4동 은혜하이츠빌라 앞","불법주정차구역"
"서울 양천구 목3동 626-19","37.546099","126.865153","양천구","목3동 등촌교회","불법주정차구역"
"양재2동 312-2","37.47195974","127.0406393","서초구","양재메트로(아)주변","불법주정차구역"
"양재1동 23","37.48425333","127.0340953","서초구","양재역12번출구주변1","불법주정차구역"
"양재1동 23","37.48425848","127.0340807","서초구","양재역12번출구주변2","불법주정차구역"
"양재1동 23","37.48330005","127.0351283","서초구","양재역환승주차장 주변","불법주정차구역"
"양재1동 101","37.47464865","127.0324286","서초구","양재천사유치원주변","불법주정차구역"
"양재1동 102-6","37.47385305","127.033979","서초구","양재초등학교주변","불법주정차구역"
"양재2동 309","37.47382165","127.0434879","서초구","언남고등학교 주변","불법주정차구역"
"양재2동 310","37.47190234","127.0454773","서초구","언남중학교 주변","불법주정차구역"
"내곡동 120","37.45446969","127.06178","서초구","언남초등학교건너편","불법주정차구역"
"내곡동 411-67","37.45473781","127.0602946","서초구","언남초등학교주변","불법주정차구역"
"잠원동 55-6","37.51873742","127.012105","서초구","영동가스충전소 주변","불법주정차구역"
"내곡동 349-1","37.45618997","127.0591375","서초구","영동농협 내곡지점주변","불법주정차구역"
"양재2동 311","37.47095482","127.0430825","서초구","영동농협 주변","불법주정차구역"
"양재1동 680","37.46572417","127.0241069","서초구","영동중학교주변","불법주정차구역"
"서초1동 1667-2","37.49390285","127.0179215","서초구","예성그린아파트주변","불법주정차구역"
"서초3동 1450-6","37.48084184","127.0136897","서초구","예전빌딩주변","불법주정차구역"
"신원동 274-1","37.4502115","127.053948","서초구","오라카이호텔주변","불법주정차구역"
"방배본동 783-26","37.49167552","126.9826898","서초구","왕실웨딩홀 주변","불법주정차구역"
"방배3동 583-4","37.47334823","126.9910752","서초구","외교협회입구 주변","불법주정차구역"
"방배1동 902-1","37.48554336","126.9950577","서초구","외환카드사주변","불법주정차구역"
"서초3동 1468","37.48049306","127.0077425","서초구","우리은행생활관주변","불법주정차구역"
"반포4동 90-10","37.49697289","126.9983067","서초구","우리은행서래지점 주변","불법주정차구역"
"양재2동 392-6","37.47296753","127.047619","서초구","우리은행포이동지점주변","불법주정차구역"
"양재1동 727","37.46403197","127.0246229","서초구","우면동 우체국 주변","불법주정차구역"
"양재1동 690","37.46415711","127.0245778","서초구","우면초등학교주변","불법주정차구역"
"서초2동 1337-34","37.49300593","127.0299077","서초구","우성아파트사거리주변","불법주정차구역"
"양재1동 554-1","37.45651732","127.0195155","서초구","우솔초등학교주변","불법주정차구역"
"서초4동 1304-5","37.50201329","127.0255389","서초구","우신빌딩주변","불법주정차구역"
"양재1동 66-2","37.47052557","127.0255122","서초구","우암상가 주변","불법주정차구역"
"서울 양천구 신월7동 981-2","37.51664142147349","126.83759558403277","양천구","신월7동 하성빌딩 앞","불법주정차구역"
"서울 양천구 신월5동 9-3","37.542314","126.828938","양천구","신월5동 강신초등학교 앞","불법주정차구역"
"서울 양천구 신정3동 1320","37.512275","126.832388","양천구","신정3동 서남병원 후문","불법주정차구역"
"서초4동 1685-1","37.50082998","127.0177683","서초구","원명초등학교 주변","불법주정차구역"
"반포1동 21","37.50526364","127.013638","서초구","원촌초등학교 부근","불법주정차구역"
"서초3동 1450-1","37.48193014","127.0137144","서초구","월드메르디앙주변","불법주정차구역"
"내곡동 (신원동) 399","37.49600819","127.0197353","서초구","유일교회","불법주정차구역"
"반포1동 737-19","37.50572576","127.0238754","서초구","은도빌딩주변","불법주정차구역"
"방배2동 468-6","37.47785094","126.9838611","서초구","이수초교주변","불법주정차구역"
"방배2동 467-24","37.47876846","126.9852712","서초구","이수초교후문주변","불법주정차구역"
"양재1동 60","37.47728349","127.0364902","서초구","일동제약주변","불법주정차구역"
"잠원동 57-20","37.51422266","127.0114309","서초구","잠원대림아파트 상가 부근","불법주정차구역"
"반포3동 157","37.50884841","127.0113479","서초구","잠원동아아파트 103동 주변","불법주정차구역"
"반포2동 16-4","37.50165026","126.9973029","서초구","잠원초등학교입구주변","불법주정차구역"
"잠원동 63-34","37.51341544","127.0085118","서초구","잠원한신로얄 APT 2동주변","불법주정차구역"
"서초3동 1543-13","37.49023255","127.0084521","서초구","장생탕 주변","불법주정차구역"
"방배4동 877-20","37.48880584","126.9954769","서초구","정우빌라","불법주정차구역"
"양재1동 (우면동) 58","37.47125224","127.0246519","서초구","우암초교주변","불법주정차구역"
"반포1동 745-6","37.50346242","127.0211048","서초구","제일약품 주변","불법주정차구역"
"양재2동 209-5","37.46456878","127.0342519","서초구","종일주류 주변","불법주정차구역"
"잠원동 58-16","37.51308969","127.0132133","서초구","종합매일상가 주변","불법주정차구역"
"반포4동 577-20","37.49483927","126.9998922","서초구","주혁빌딩주변","불법주정차구역"
"서초2동 1356-5","37.4874269","127.0288183","서초구","천사아틀리에 주변","불법주정차구역"
"양재2동 591-5","37.44493071","127.0575417","서초구","청계산입구 주변","불법주정차구역"
"방배1동 908-21","37.48247004","126.9978007","서초구","청권사앞삼거리주변","불법주정차구역"
"방배1동 908-21","37.48256373","126.9976864","서초구","청권사앞삼거리주변2","불법주정차구역"
"반포4동 86-1","37.49604966","126.9994359","서초구","청룡공원주변","불법주정차구역"
"서초2동 1327-34","37.49416737","127.0274967","서초구","춘하추동 주변","불법주정차구역"
"방배4동 818-1","37.49145189","126.9869462","서초구","카페골목입구주변","불법주정차구역"
"방배1동 919-1","37.48286153","126.9919636","서초구","코끼리마트주변","불법주정차구역"
"양재2동 217-6","37.46171584","127.0371274","서초구","코스트코 주변","불법주정차구역"
"반포4동 66-1","37.50062632","126.9997347","서초구","코웰빌딩 주변","불법주정차구역"
"내곡동 148 ","37.45457041","127.0636445","서초구","콜마정문앞주변","불법주정차구역"
"방배2동 452-1","37.47936877","126.9832792","서초구","클럽54 골프연습장주변","불법주정차구역"
"잠원동 70-1","37.51082933","127.0071236","서초구","킴스클럽 주변","불법주정차구역"
"서초1동 1679-1","37.49574201","127.020446","서초구","탐앤탐스주변","불법주정차구역"
"서초3동 1574-12","37.49281926","127.013791","서초구","태림빌딩 주변","불법주정차구역"
"양재2동 263-5","37.47705989","127.0428638","서초구","태석빌딩주변","불법주정차구역"
"서초2동 1344-13","37.48672332","127.0275116","서초구","트라팰리스B동주변","불법주정차구역"
"반포4동 68-2","37.49940776","126.9990973","서초구","파리15구공원 주변","불법주정차구역"
"방배4동 812-24","37.49108015","126.9914438","서초구","파리바게뜨주변","불법주정차구역"
"서울 양천구 신정6동 322-1","37.517398","126.864504","양천구","신정6동 서울강림교회 앞","불법주정차구역"
"서울 양천구 목5동 907-8","37.536641","126.878808","양천구","목5동 우성에펠타운 앞","불법주정차구역"
"서울 양천구 신월1동 227-5","37.529868","126.836927","양천구","신월1동 미타사 앞","불법주정차구역"
"서울 양천구 신정7동 323-13","37.515205","126.862694","양천구","신정7동 누리공영주차장 앞","불법주정차구역"
"서울 양천구 목동 908-34","37.536457","126.882787","양천구","목5동 부영그린타운3차 앞 사거리","불법주정차구역"
"서울 양천구 신정3동 1319","37.514492","126.831321","양천구","신정3동 신은초등학교 앞 사거리","불법주정차구역"
"서울 양천구 신월1동 226-1","37.529851","126.834837","양천구","신월1동 보람아파트 앞 사거리","불법주정차구역"
"서울 양천구 신월6동 548-7","37.517194","126.840172","양천구","신월6동 세븐일레븐","불법주정차구역"
"서울 양천구 신월4동 422-1","37.515983","126.860526","양천구","신월4동 태양어린이공원 앞","불법주정차구역"
"서울 양천구 목동 408-76","37.524796","126.866912","양천구","횃불교회 앞","불법주정차구역"
"서초1동 1630-1","37.48996578","127.019826","서초구","서초1동 주민센터주변","불법주정차구역"
"서초2동 1334-1","37.49150982","127.0249041","서초구","서초2동주민센터입구주변","불법주정차구역"
"서초4동 1312-3","37.50078743","127.0223943","서초구","서초4동 롯데캐슬주변","불법주정차구역"
"서초2동 1326-1","37.49556039","127.0259058","서초구","서초가든스위트 주변","불법주정차구역"
"서초3동 1504","37.48987056","127.0068099","서초구","서초고교정문 사거리 주변","불법주정차구역"
"서초2동 1376-3","37.48419329","127.0323335","서초구","서초구청주변","불법주정차구역"
"서초3동 1483-18","37.4830193","127.0104736","서초구","서초더샵오데움주변","불법주정차구역"
"서초1동 1444-1","37.48509099","127.0184669","서초구","서초1동 우체국주변","불법주정차구역"
"서초4동 1686-9","37.49796638","127.018182","서초구","서초래미안109동주변","불법주정차구역"
"서초3동 1500-1","37.49131495","127.006213","서초구","로얄프라자주변","불법주정차구역"
"양재1동 25","37.48231903","127.0362177","서초구","서초문화예술회관 주변","불법주정차구역"
"반포4동 54-9","37.50114035","127.009326","서초구","서초성모어린이집주변","불법주정차구역"
"양재1동 763","37.45671669","127.0164729","서초구","서초스타힐스입구주변","불법주정차구역"
"서초3동 1583-10","37.48546276","127.0123349","서초구","서초아트자이102동주변","불법주정차구역"
"방배3동 1027-6","37.47459985","127.0005979","서초구","서초어린이집주변","불법주정차구역"
"서초3동 1542-1","37.49206387","127.0084448","서초구","서초역1번출구주변","불법주정차구역"
"서초3동 1500-2","37.49162895","127.0069246","서초구","서초역4번출구주변","불법주정차구역"
"서초1동 1642-22","37.49140089","127.0170717","서초구","서초연꽃어린이집주변","불법주정차구역"
"서초2동 1331-1","37.49394031","127.0266797","서초구","서초우성2차 18동 주변","불법주정차구역"
"서초2동 1326-17","37.49582212","127.0267202","서초구","서초우성5차 501동 주변","불법주정차구역"
"양재2동 324-2","37.46964115","127.0414222","서초구","서초우체국 주변","불법주정차구역"
"양재1동 769","37.45625856","127.0165468","서초구","서초유치원주변","불법주정차구역"
"서초4동 1687-2","37.49585414","127.0194282","서초구","서초중앙프라자 주변","불법주정차구역"
"서초4동 1307-6","37.49897722","127.025205","서초구","서초초교 주변","불법주정차구역"
"신원동 286","37.44878126","127.0554108","서초구","서초포레스타6단지주변","불법주정차구역"
"서초4동 1302-4","37.50219187","127.021769","서초구","서초푸르지오서밋 주변","불법주정차구역"
"창동 659-3","37.64911501576131","127.0352127418412","교통정보과","쌍문역1번 국민은행쌍문역지점","불법주정차구역"
"쌍문3동 88-144","37.6485683","127.0344528","교통정보과","쌍문역4번출구 이영수외과","불법주정차구역"
"창동 659-29","37.647963","127.0345609","교통정보과","쌍문역2번출구 삼성쉐르빌","불법주정차구역"
"쌍문3동 96-26","37.6474643","127.0338215","교통정보과","쌍문역3번출구 퓨리나동물병원","불법주정차구역"
"번1동 418-6","37.63840012788323","127.02632503784497","교통정보과","수유역1번출구 교보빌딩앞","불법주정차구역"
"수유3동 191-19","37.638107482702736","127.02552901179273","교통정보과","수유역7번출구 화장품가게앞","불법주정차구역"
"번1동 446-13","37.6370334","127.024842","교통정보과","수유역4번출구 가든타워앞","불법주정차구역"
"수유3동 229-9","37.63716166411185","127.02451184596313","교통정보과","수유역5번출구 기업은행앞","불법주정차구역"
"미아3동 189-40","37.63134808916981","127.02434566828144","교통정보과","미아동 덕산빌딩 부근","불법주정차구역"
"수유1동 54-9","37.63138420745531","127.02396049946377","교통정보과","수유프라자앞","불법주정차구역"
"미아동 202-13","37.63001234393161","127.02450666557105","교통정보과","하나정형외과의원","불법주정차구역"
"미아동 60-5","37.6130871","127.0299119","교통정보과","미아삼거리역 5번출구","불법주정차구역"
"길음1동 541-81","37.60299654598334","127.02283309398177","교통정보과","국민은행 길음동지점","불법주정차구역"
"동선동1가 115","37.5931524","127.0176937","교통정보과","국민은행 돈암동지점앞","불법주정차구역"
"남대문로3가 30-16","37.560897774812275","126.97797486025344","교통정보과","남대문로3가영신빌딩앞","불법주정차구역"
"남대문로3가 13-3","37.5612463","126.9798668","교통정보과","자유핸드백도매타운상가","불법주정차구역"
"남창동 64-1","37.5576732","126.9765652","교통정보과","연세악세사리전문상가앞","불법주정차구역"
"충무로4가 125번지","37.56160705039683","126.99619706209881","교통정보과","대한극장","불법주정차구역"
"황학동 732","37.5657763","127.018929","교통정보과","신당역1번출구 중앙시장","불법주정차구역"
"신당동 140-1","37.5654722","127.0197293","교통정보과","신당한의원","불법주정차구역"
"황학동 716","37.565779150373466","127.0207701791209","교통정보과","신당역2번출구 기업은행","불법주정차구역"
"도선동 58번지","37.5625099","127.0337739","교통정보과","코스모타워앞","불법주정차구역"
"논현1동 49-17","37.51211325653101","127.02117662558956","교통정보과","올리브영앞","불법주정차구역"
"반포1동 707-5","37.510126","127.021528","교통정보과","프린스타워 강남박창수안과앞","불법주정차구역"
"반포1동 722-31","37.5088454","127.0221199","교통정보과","성창빌딩(LGU플러스)","불법주정차구역"
"반포동736-2 ","37.5074339","127.0228055","교통정보과","신한은행","불법주정차구역"
"역삼동 814-6","37.5014203","127.0262062","교통정보과","강남CGV앞","불법주정차구역"
"서초동 1306-1","37.5004332","127.0261819","교통정보과","지오다노(자동)","불법주정차구역"
"서초2동 1337-20","37.4921806","127.0300858","교통정보과","대륭서초타워앞","불법주정차구역"
"남가좌동 291-40","37.5693973","126.9149868","교통정보과","수색로 모래내시장","불법주정차구역"
"남가좌동 294-8","37.5694134","126.9142336","교통정보과","가좌역 노블가구","불법주정차구역"
"수색동 368-6","37.58267512590881","126.89488029334058","교통정보과","수색역앞","불법주정차구역"
"전농동 597-38","37.581982","127.0477418","교통정보과","미주상가A동 맞은편","불법주정차구역"
"상봉동 130-1","37.5936469","127.075571","교통정보과","맥도날드(동부시장)","불법주정차구역"
"영등포동3가 12-4","37.5177301","126.9100662","교통정보과","한국전력공사맞은편","불법주정차구역"
"문래동2가 1-1","37.513167068259875","126.89682719718306","교통정보과","문래동사거리","불법주정차구역"
"북아현동 251-79","37.557056","126.9531387","교통정보과","월드펫동물병원 앞","불법주정차구역"
"한강로3가 40-999","37.52867278450897","126.96543507286705","교통정보과","용산역 앞","불법주정차구역"
"정릉동 16-162","37.60213212717235","127.01989414695541","교통정보과","길음뉴타운 건너편","불법주정차구역"
"서교동 394-36","37.54991525965774","126.91486598319478","교통정보과","동부트레스벨 앞","불법주정차구역"
"노고산동 49-2","37.55568755375858","126.93475535280767","교통정보과","신촌한의원 버스정류장 앞","불법주정차구역"
"노고산동 57-39","37.55437921321959","126.9354072308631","교통정보과","하나은행","불법주정차구역"
"내발산동 723","37.549215069008056","126.83613867963908","교통정보과","우장산역4번출구 송화시장앞","불법주정차구역"
"신정1동 977-18","37.5216864","126.8572567","교통정보과","개구장이치과 부근","불법주정차구역"
"신정동 1028-1","37.52129598888024","126.85562557103755","교통정보과","태평양약국 부근","불법주정차구역"
"신정동 1182-7","37.51843269469165","126.8535044818019","교통정보과","양천자원봉사센터 건너편","불법주정차구역"
"신정동 1183-5","37.519740698196074","126.85293915606965","교통정보과","신정기독교 백화점 부근","불법주정차구역"
"봉천3동 32-4","37.4840243","126.9547912","교통정보과","동진빌딩(국민은행)맞은편(더마운틴앞)","불법주정차구역"
"봉천10동 32-1","37.4846754","126.9554493","교통정보과","동진빌딩 국민은행앞","불법주정차구역"
"불광동 272-5","37.611741","126.9290809","교통정보과","국민은행불광동지점","불법주정차구역"
"사당2동 1031-3","37.4795972","126.9815077","교통정보과","동작구 동작대로 국민은행","불법주정차구역"
"휘경1동 317-103","37.5885133","127.0563276","교통정보과","한국주방냉동 앞","불법주정차구역"
"방배4동 1961","37.48989735686117","126.98286074955567","교통정보과","현대사무용가구 앞","불법주정차구역"
"남대문로2가 14-1","37.56391459911596","126.98237125462235","교통정보과","명동지하쇼핑센터18번출입구 부근","불법주정차구역"
"남대문로3가 110-4","37.561129751271835","126.97781350768486","교통정보과","남대문로 지하쇼핑센터 3번입구","불법주정차구역"
"석촌동 184-4","37.5075993","127.1046822","교통정보과","석촌동 대지빌딩 부근","불법주정차구역"
"석촌동 296-11","37.5010769","127.110585","교통정보과","석촌동 김지태치과의원 부근","불법주정차구역"
"수색동 101-7","37.5816514","126.8966079","교통정보과","수색우체국 앞","불법주정차구역"
"동교동 159-6","37.5565042","126.9229903","교통정보과","파라다이스텔(던킨도너츠앞)","불법주정차구역"
"동교동 162-1","37.555919142360096","126.92285489956929","교통정보과","홍대입구역 9번출구 앞","불법주정차구역"
"서교동 393-12","37.55037237904847","126.9146759107988","교통정보과","합정역 1번출구 부근","불법주정차구역"
"방이2동 35-2","37.516040444772365","127.10910392008311","교통정보과","방이동 쌩모리빌오피스텔부근","불법주정차구역"
"남창동 51-1","37.55888815931837","126.97596370288527","교통정보과","대한해상 앞","불법주정차구역"
