국가,백신접종수,Enough_percent_people:,1차접종,2차접종,일별접종수
Cuba,20298170.0,89.6,79.8,43.6,270811.0
UAE,19963360.0,92.9,85.9,76.1,59157.0
Uzbekistan,18526940.0,27.9,29.4,11.1,155946.0
Ukraine,17867952.0,21.4,29.6,13.2,157673.0
South Africa,17176604.0,16.4,20.7,14.3,116932.0
Belgium,16644129.0,72.6,74.8,73.2,22185.0
Portugal,15950862.0,77.6,86.9,84.0,23657.0
Egypt,15057720.0,7.6,9.7,5.5,303446.0
Israel,14970627.0,82.7,67.3,62.1,29290.0
Taiwan,14763330.0,31.3,53.2,9.4,202336.0
Algeria,14082920.0,16.2,13.9,9.3,292376.0
Venezuela,14050000.0,25.3,31.6,18.9,246316.0
Kazakhstan,14013701.0,37.6,40.4,34.4,56369.0
Sweden,13703515.0,66.3,69.2,63.3,30188.0
Nepal,13166598.0,23.1,23.9,21.7,186712.0
Greece,12088975.0,56.4,59.9,56.6,22088.0
Dominican Republic,11828826.0,57.1,58.2,55.5,22374.0
Czech Republic,11788930.0,55.3,57.0,55.8,8874.0
Hungary,11167215.0,57.1,60.2,57.7,5617.0
Austria,10802266.0,61.0,64.5,60.9,9919.0
Switzerland,10358035.0,60.6,64.3,58.3,28480.0
Romania,10114580.0,26.1,28.2,27.5,20423.0
Singapore,9306870.0,81.6,82.1,79.2,23733.0
Myanmar,9001616.0,8.5,10.5,6.6,163440.0
Denmark,8815419.0,75.9,76.7,75.1,4355.0
Hong Kong,8622733.0,57.3,59.5,55.2,28497.0
Azerbaijan,8350575.0,41.8,47.2,36.4,53286.0
Norway,7757255.0,72.4,77.2,67.6,17426.0
Finland,7523959.0,68.2,74.8,61.6,20879.0
Iraq,7448300.0,9.5,11.7,7.3,110874.0
Tunisia,7425277.0,31.5,40.5,29.0,36864.0
El Salvador,7396969.0,57.3,62.8,51.6,32549.0
Ireland,7200652.0,72.7,76.1,74.1,9025.0
Jordan,6960192.0,34.6,36.6,32.3,16091.0
Guatemala,6757605.0,19.2,24.9,13.1,73439.0
Bolivia,6700654.0,29.0,36.8,28.2,33238.0
Nigeria,6552979.0,1.6,2.3,0.9,59719.0
Serbia,6409263.0,46.0,43.4,41.4,15790.0
Uruguay,6214949.0,88.3,77.7,72.9,20806.0
Panama,5367816.0,63.6,69.7,57.5,16408.0
Costa Rica,5278479.0,52.0,64.5,39.5,12.0
Zimbabwe,5263782.0,17.7,20.5,14.8,31282.0
Honduras,5196072.0,26.6,32.8,20.4,46577.0
New Zealand,5087231.0,51.6,66.0,37.2,38574.0
Oman,4946987.0,59.0,69.1,48.9,38813.0
Slovakia,4762272.0,43.7,44.8,41.3,6412.0
Qatar,4702517.0,84.1,84.4,79.4,4415.0
Mongolia,4545348.0,68.9,68.3,64.5,16573.0
Paraguay,4488153.0,31.4,36.7,26.1,9935.0
Laos,4402770.0,30.7,39.1,26.7,9906.0
Tajikistan,3872421.0,20.8,24.8,16.8,70941.0
Rwanda,3740279.0,15.1,16.9,13.2,54654.0
Mozambique,3644423.0,5.8,6.1,5.6,54234.0
Kenya,3613357.0,3.8,5.7,1.9,30756.0
Ethiopia,3535329.0,1.8,2.9,0.8,50195.0
Croatia,3413174.0,42.0,44.5,41.7,6307.0
Belarus,3389520.0,17.9,19.8,16.0,26145.0
Lithuania,3199916.0,57.5,62.5,57.7,21363.0
Angola,3134137.0,5.2,7.1,3.3,44858.0
Afghanistan,3133227.0,4.2,2.6,1.2,765279.0
Lebanon,2929966.0,21.4,23.5,19.3,28922.0
Bahrain,2568320.0,86.5,78.4,75.0,3999.0
Bulgaria,2521738.0,18.1,17.3,19.0,5780.0
Kuwait,2380000.0,25.1,56.2,19.4,12990.0
Slovenia,2113404.0,52.1,54.1,48.1,6460.0
Uganda,2058553.0,2.6,4.1,1.0,90201.0
Ivory Coast,1968171.0,3.7,5.6,1.4,33239.0
Senegal,1784832.0,5.5,7.6,3.5,2395.0
Georgia,1760878.0,23.6,26.2,21.1,12798.0
Albania,1715133.0,29.9,32.7,27.0,8220.0
Guinea,1699898.0,6.2,8.5,3.9,41480.0
Ghana,1653422.0,2.7,2.9,2.5,3330.0
Sudan,1650828.0,1.9,1.5,1.3,21549.0
Mauritius,1633952.0,64.5,66.8,62.2,1155.0
Latvia,1621953.0,42.2,47.4,43.5,4283.0
Libya,1546967.0,11.8,20.7,2.8,11651.0
North Macedonia,1495762.0,36.0,37.6,34.3,5856.0
Kyrgyzstan,1422970.0,11.1,12.7,9.5,10359.0
Moldova,1392707.0,26.0,22.9,29.0,3561.0
Estonia,1361564.0,51.4,57.0,45.7,3361.0
Kosovo,1283840.0,35.7,43.3,28.1,15384.0
Cyprus,1147010.0,65.5,67.9,63.1,1090.0
Malawi,1087426.0,2.7,3.9,2.4,7915.0
Bhutan,1068414.0,71.7,77.1,66.3,3185.0
Bosnia and Herzegovina,1060145.0,16.1,19.2,12.9,7334.0
Trinidad and Tobago,1047111.0,37.5,41.5,34.4,3453.0
Togo,997632.0,6.2,7.4,5.0,23544.0
Fiji,975268.0,54.5,65.7,43.3,9017.0
Mauritania,890122.0,11.0,7.9,0.5,2813.0
Malta,818593.0,82.9,85.1,85.1,824.0
Nicaragua,788502.0,6.0,7.7,4.4,2155.0
Luxembourg,784482.0,63.9,68.1,65.1,592.0
Jamaica,743184.0,13.6,19.3,8.9,4756.0
Maldives,727664.0,97.8,105.3,90.3,759.0
Zambia,711264.0,1.9,1.8,2.1,6903.0
Timor-Leste,675891.0,26.1,32.8,19.4,3941.0
Macau,649564.0,47.8,51.2,44.6,4123.0
Niger,621853.0,1.3,1.7,0.4,9294.0
Botswana,606699.0,12.8,17.2,9.5,2729.0
Iceland,551110.0,77.2,78.8,77.2,1103.0
Guyana,538748.0,34.3,45.2,23.4,2082.0
Syria,533949.0,-999.0,-999.0,-999.0,23498.0
Somalia,464359.0,1.5,1.7,1.4,9868.0
Cameroon,461201.0,0.9,1.5,0.3,995.0
Montenegro,452830.0,36.3,38.6,33.7,2132.0
Brunei,443676.0,48.2,58.7,37.8,5261.0
Madagascar,417648.0,0.8,0.7,0.7,5145.0
Cape Verde,414300.0,37.7,51.7,23.7,3741.0
Armenia,408535.0,6.9,8.9,4.8,5965.0
Namibia,407502.0,8.3,10.5,6.5,4761.0
Mali,405053.0,1.1,1.7,1.2,1460.0
Suriname,394029.0,33.0,37.8,28.2,2208.0
Tanzania,389807.0,0.3,-999.0,-999.0,5687.0
Equatorial Guinea,387510.0,14.2,16.4,12.1,2838.0
Comoros,336863.0,19.3,20.0,18.5,249.0
Lesotho,332954.0,8.1,12.2,11.7,6246.0
Republic of the Congo,329905.0,3.6,4.7,2.5,1525.0
Yemen,322934.0,0.5,1.0,0.05,244.0
Belize,304218.0,37.3,47.6,28.2,2922.0
Liberia,284246.0,3.1,2.3,0.6,9467.0
Burkina Faso,254545.0,0.6,1.2,0.8,8839.0
Eswatini,240002.0,10.8,18.7,18.1,888.0
Barbados,234124.0,40.8,46.1,35.5,1684.0
Sierra Leone,232375.0,1.5,2.4,0.5,805.0
Benin,226269.0,1.0,1.3,0.2,1696.0
Gambia,207195.0,4.4,7.8,7.3,357.0
Central African Republic,187160.0,2.0,3.0,0.2,212.0
Curaçao,186793.0,57.3,60.0,54.6,276.0
Bahamas,184461.0,24.2,30.0,18.4,210.0
Gabon,180320.0,4.3,4.9,3.8,1099.0
Papua New Guinea,164776.0,1.0,1.4,0.5,2517.0
Aruba,155753.0,69.5,72.5,66.6,150.0
Jersey,150891.0,-999.0,-999.0,-999.0,80.0
Samoa,149431.0,37.2,49.3,25.0,981.0
Seychelles,148402.0,77.3,80.5,74.1,154.0
Chad,142548.0,0.4,0.7,0.2,2785.0
DR Congo,134945.0,0.1,0.1,0.05,432.0
Isle of Man,129318.0,76.1,77.0,75.1,30.0
Cayman Islands,110096.0,84.7,84.7,84.7,685.0
South Sudan,103751.0,0.4,0.6,0.2,996.0
Greenland,102357.0,89.8,124.5,64.5,300.0
Guernsey,101898.0,-999.0,-999.0,-999.0,45.0
Solomon Islands,97744.0,7.6,11.6,3.6,2902.0
Andorra,95918.0,62.3,68.7,55.9,113.0
Guinea-Bissau,94715.0,2.7,4.9,0.4,3807.0
Antigua and Barbuda,89252.0,46.0,50.1,41.9,1048.0
Bermuda,86676.0,68.8,69.6,68.0,60.0
Sao Tome and Principe,82679.0,19.4,28.4,10.4,2420.0
Gibraltar,79502.0,116.9,117.4,116.4,30.0
St. Lucia,76224.0,21.2,25.0,17.3,495.0
Faroe Islands,74129.0,75.6,77.7,73.6,104.0
Tonga,73603.0,36.8,46.1,27.5,274.0
Micronesia,72085.0,34.7,41.6,-999.0,266.0
Djibouti,67229.0,3.1,3.8,2.4,174.0
Haiti,64799.0,0.3,0.4,0.2,663.0
Grenada,55663.0,25.5,30.4,20.7,579.0
Turks & Caicos,52374.0,68.9,72.2,65.6,77.0
Monaco,49980.0,64.1,68.4,59.8,120.0
Sint Maarten,49310.0,58.7,61.2,56.2,22.0
Saint Kitts and Nevis,47098.0,41.3,44.2,38.5,31.0
San Marino,47088.0,69.2,71.8,71.8,9.0
Dominica,44624.0,31.4,33.3,29.6,82.0
Turkmenistan,41993.0,0.4,0.6,0.2,-999.0
St. Vincent and the Grenadines,33077.0,15.0,18.2,11.9,113.0
Anguilla,18584.0,61.9,63.3,60.6,2.0
Nauru,14863.0,57.2,58.6,55.8,4.0
St. Helena,7892.0,65.8,72.7,58.9,8.0
Falkland Islands,4407.0,73.5,87.7,59.2,202.0
Montserrat,2871.0,28.7,29.7,27.8,2.0
Eritrea,-999.0,-999.0,-999.0,-999.0,-999.0
