국문(코로나보드),영문(블룸버그),나라,비고_뜻
카타르,Qatar,,
캄보디아,Cambodia,,
캐나다,Canada,,
케냐,Kenya,,
케이맨 제도,Cayman Islands,,
코모로,Comoros,,
코소보,Kosovo,,
코스타리카,Costa Rica,,
코트디부아르,Ivory Coast,,
콜롬비아,Colombia,,
콩고공화국,Republic of the Congo,,
콩고민주공화국,DR Congo,,
쿠바,Cuba,,
쿠웨이트,Kuwait,,
퀴라소,Curacao,,
크로아티아,Croatia,,
키르기스스탄,Kyrgyzstan,,
키프로스,Cyprus,,
타지키스탄,Tajikistan,,
탄자니아,,,Tanzania
태국,Thailand,,
터크스 케이커스 제도,Turks & Caicos,,
터키,Turkey,,
토고,Togo,,
튀니지,Tunisia,,
트리니다드 토바고,Trinidad and Tobago,,
파나마,Panama,,
파라과이,Paraguay,,
파키스탄,Pakistan,,
파푸아뉴기니,Papua New Guinea,,
팔레스타인,,,Palestinian
페로 제도,Faroe Islands,,
페루,Peru,,
포르투갈,Portugal,,
포클랜드 제도,Falkland Islands,,
폴란드,Poland,,
프랑스,France,,
프랑스령 기아나,,,Guyana
프랑스령 폴리네시아,,,Polynesian
피지,Fiji,,
핀란드,Finland,,
필리핀,Philippines,,
헝가리,Hungary,,
호주,Australia,,
홍콩,Hong Kong,,
,Guernsey,,건지
,Nauru,,나우루
,Tonga,,통가
,Turkmenistan,,투르크메니스탄
,Jersey,,저지
,EU,,
