ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),±â¿Â QCÇÃ·¡±×,°­¼ö·®(mm),°­¼ö·® QCÇÃ·¡±×,Ç³¼Ó(m/s),Ç³¼Ó QCÇÃ·¡±×,Ç³Çâ(16¹æÀ§),Ç³Çâ QCÇÃ·¡±×,½Àµµ(%),½Àµµ QCÇÃ·¡±×,Áõ±â¾Ð(hPa),ÀÌ½½Á¡¿Âµµ(¡ÆC),ÇöÁö±â¾Ð(hPa),ÇöÁö±â¾Ð QCÇÃ·¡±×,ÇØ¸é±â¾Ð(hPa),ÇØ¸é±â¾Ð QCÇÃ·¡±×,ÀÏÁ¶(hr),ÀÏÁ¶ QCÇÃ·¡±×,ÀÏ»ç(MJ/m2),ÀÏ»ç QCÇÃ·¡±×,Àû¼³(cm),3½Ã°£½ÅÀû¼³(cm),Àü¿î·®(10ºÐÀ§),ÁßÇÏÃþ¿î·®(10ºÐÀ§),¿îÇü(¿îÇü¾à¾î),ÃÖÀú¿î°í(100m ),½ÃÁ¤(10m),Áö¸é»óÅÂ(Áö¸é»óÅÂÄÚµå),Çö»ó¹øÈ£(±¹³»½Ä),Áö¸é¿Âµµ(¡ÆC),Áö¸é¿Âµµ QCÇÃ·¡±×,5cm ÁöÁß¿Âµµ(¡ÆC),10cm ÁöÁß¿Âµµ(¡ÆC),20cm ÁöÁß¿Âµµ(¡ÆC),30cm ÁöÁß¿Âµµ(¡ÆC)
105,°­¸ª,2016-01-01 21:00,4.9,0,,,5.3,0,290,0,44,0,3.8,-6.3,1022.5,0,1025.8,0,,9,,9,,,,,,,2000,,,4.4,0,4.1,4,4.9,5.2
105,°­¸ª,2016-01-01 22:00,5.2,0,,,4.7,0,290,0,45,0,4,-5.7,1021.6,0,1024.9,0,,9,,9,,,,,,,2000,,,4.7,0,4,3.9,4.9,5.3
105,°­¸ª,2016-01-01 23:00,5.3,0,,,4.7,0,290,0,45,0,4,-5.6,1021.4,0,1024.7,0,,9,,9,,,,,,,2000,,,4.7,0,3.9,3.9,4.9,5.3
105,°­¸ª,2016-01-02 00:00,5.5,0,,,5.5,0,320,0,45,0,4.1,-5.5,1020.6,0,1023.9,0,,9,,9,,,,,,,2000,,,5,0,3.8,3.8,4.9,5.3
105,°­¸ª,2016-01-02 01:00,5.7,0,,,6.3,0,290,0,46,0,4.2,-5,1020.2,0,1023.4,0,,9,,9,,,,,,,2000,,,5.2,0,3.8,3.7,4.9,5.3
105,°­¸ª,2016-01-02 02:00,5.9,0,,,5,0,290,0,46,0,4.3,-4.8,1020.4,0,1023.6,0,,9,,9,,,,,,,2000,,,5.4,0,3.8,3.7,4.9,5.4
105,°­¸ª,2016-01-02 03:00,6.3,0,,,4.7,0,320,0,47,0,4.5,-4.2,1019.8,0,1023,0,,9,,9,,,,,,,2000,,,5.7,0,3.8,3.7,4.8,5.4
105,°­¸ª,2016-01-02 04:00,6.6,0,,,4.4,0,320,0,47,0,4.6,-3.9,1019.2,0,1022.4,0,,9,,9,,,,,,,2000,,,5.8,0,3.8,3.8,4.9,5.4
105,°­¸ª,2016-01-02 05:00,6.9,0,,,5.6,0,320,0,46,0,4.6,-3.9,1018.4,0,1021.6,0,,9,,9,,,,,,,2000,,,6.2,0,3.8,3.8,4.8,5.4
105,°­¸ª,2016-01-02 06:00,6.9,0,,,3.6,0,340,0,46,0,4.6,-3.9,1018.4,0,1021.6,0,,9,,9,,,,,,,2000,,,5.5,0,3.8,3.7,4.8,5.4
105,°­¸ª,2016-01-02 07:00,7.1,0,,,3.1,0,320,0,46,0,4.6,-3.7,1018.1,0,1021.3,0,,9,,9,,,,,,,2000,,,5.6,0,3.7,3.6,4.8,5.4
105,°­¸ª,2016-01-02 08:00,7.2,0,,,3.1,0,290,0,46,0,4.7,-3.6,1018.2,0,1021.4,0,0,0,0,0,,,,,,,2000,,,5.9,0,3.6,3.5,4.8,5.4
105,°­¸ª,2016-01-02 09:00,8.1,0,,,4.2,0,290,0,46,0,5,-2.8,1018.4,0,1021.6,0,.9,0,.28,0,,,,,,,2000,,,8.4,0,3.7,3.6,4.8,5.4
105,°­¸ª,2016-01-02 10:00,9.2,0,,,2.1,0,320,0,42,0,4.9,-3,1018.7,0,1021.9,0,1,0,.77,0,,,,,,,2000,,,13.6,0,4.1,4,4.8,5.4
105,°­¸ª,2016-01-02 11:00,10,0,,,4.4,0,320,0,38,0,4.7,-3.6,1018.3,0,1021.5,0,1,0,1.35,0,,,,,,,2000,,,15,0,4.9,4.7,4.8,5.4
105,°­¸ª,2016-01-02 12:00,10.6,0,,,5.2,0,320,0,37,0,4.7,-3.5,1017.8,0,1021,0,1,0,1.73,0,,,,,,,2000,,,15,0,5.8,5.6,4.8,5.4
105,°­¸ª,2016-01-02 13:00,10.7,0,,,7.4,0,320,0,37,0,4.8,-3.4,1016.6,0,1019.8,0,1,0,1.81,0,,,,,,,2000,,,14.5,0,6.5,6.4,4.9,5.4
105,°­¸ª,2016-01-02 14:00,10.9,0,,,8.6,0,320,0,36,0,4.7,-3.6,1015.9,0,1019.1,0,1,0,1.7,0,,,,,,,2000,,,14,0,6.9,7.1,5,5.4
105,°­¸ª,2016-01-02 15:00,11,0,,,7.9,0,320,0,37,0,4.9,-3.1,1015.5,0,1018.7,0,1,0,1.37,0,,,,,,,2000,,,11.9,0,7.1,7.3,5.2,5.5
105,°­¸ª,2016-01-02 16:00,10.8,0,,,6.5,0,320,0,39,0,5,-2.6,1015.5,0,1018.7,0,1,0,.81,0,,,,,,,2000,,,12.6,0,7.1,7.3,5.4,5.5
105,°­¸ª,2016-01-02 17:00,10,0,,,5.7,0,320,0,41,0,5,-2.6,1015.8,0,1019,0,.8,0,.24,0,,,,,,,2000,,,9.3,0,6.8,7,5.5,5.6
105,°­¸ª,2016-01-02 18:00,9.9,0,,,3.6,0,320,0,44,0,5.4,-1.8,1015.8,0,1019,0,0,0,0,0,,,,,,,2000,,,8.6,0,6.5,6.6,5.7,5.6
105,°­¸ª,2016-01-02 19:00,10,0,,,4.6,0,320,0,45,0,5.5,-1.4,1015.5,0,1018.7,0,,9,,9,,,,,,,1700,,,8.8,0,6.2,6.3,5.8,5.7
105,°­¸ª,2016-01-02 20:00,9.6,0,,,3.2,0,290,0,47,0,5.6,-1.1,1015.5,0,1018.7,0,,9,,9,,,,,,,1400,,,8.3,0,5.9,6,5.9,5.8
105,°­¸ª,2016-01-02 21:00,9.7,0,,,3.7,0,290,0,47,0,5.7,-1,1015.4,0,1018.6,0,,9,,9,,,,,,,1500,,,8.5,0,5.7,5.7,5.9,5.8
105,°­¸ª,2016-01-02 22:00,9.6,0,,,2.9,0,320,0,47,0,5.6,-1.1,1015.3,0,1018.5,0,,9,,9,,,,,,,1700,,,8,0,5.5,5.5,5.9,5.9
105,°­¸ª,2016-01-02 23:00,9.8,0,,,3.1,0,290,0,47,0,5.7,-.9,1015.2,0,1018.4,0,,9,,9,,,,,,,1500,,,8.2,0,5.3,5.3,5.9,6
105,°­¸ª,2016-01-03 00:00,10,0,,,3.6,0,320,0,46,0,5.6,-1.1,1014.8,0,1018,0,,9,,9,,,,,,,1700,,,8.7,0,5.2,5.2,5.9,6
105,°­¸ª,2016-01-03 01:00,9.7,0,,,2.7,0,320,0,50,0,6,-.2,1014.7,0,1017.9,0,,9,,9,,,,,,,1500,,,8,0,5,5.1,5.9,6
105,°­¸ª,2016-01-03 02:00,9.7,0,,,2.6,0,320,0,50,0,6,-.2,1014.2,0,1017.4,0,,9,,9,,,,,,,1500,,,8.1,0,4.9,5,5.8,6
105,°­¸ª,2016-01-03 03:00,9.8,0,,,3.7,0,320,0,47,0,5.7,-.9,1014.5,0,1017.7,0,,9,,9,,,,,,,1600,,,8.4,0,4.9,4.9,5.9,6.1
105,°­¸ª,2016-01-03 04:00,9.5,0,,,3.2,0,290,0,49,0,5.8,-.7,1014.6,0,1017.8,0,,9,,9,,,,,,,1600,,,8,0,4.8,4.8,5.8,6.1
105,°­¸ª,2016-01-03 05:00,9.2,0,,,3.6,0,320,0,50,0,5.8,-.7,1014.4,0,1017.6,0,,9,,9,,,,,,,1600,,,7.8,0,4.7,4.7,5.8,6
105,°­¸ª,2016-01-03 06:00,8.7,0,,,3.4,0,320,0,51,0,5.8,-.8,1014.6,0,1017.8,0,,9,,9,,,,,,,1500,,,7.3,0,4.7,4.6,5.7,6.1
105,°­¸ª,2016-01-03 07:00,7.7,0,,,2.1,0,360,0,54,0,5.7,-1,1015.4,0,1018.6,0,,9,,9,,,,,,,1400,,,5.6,0,4.5,4.5,5.7,6.1
105,°­¸ª,2016-01-03 08:00,7.5,0,,,2.9,0,360,0,53,0,5.5,-1.4,1015.9,0,1019.1,0,0,0,.01,0,,,,,,,1400,,,6.3,0,4.4,4.4,5.7,6.1
105,°­¸ª,2016-01-03 09:00,8,0,,,1.4,0,360,0,51,0,5.5,-1.5,1016.3,0,1019.5,0,.8,0,.27,0,,,,,,,1500,,,9.2,0,4.4,4.3,5.6,6.1
105,°­¸ª,2016-01-03 10:00,10.5,0,,,2,0,270,0,43,0,5.5,-1.5,1016.3,0,1019.5,0,1,0,.79,0,,,,,,,1800,,,14.9,0,4.8,4.7,5.6,6.1
105,°­¸ª,2016-01-03 11:00,11.6,0,,,3.3,0,320,0,41,0,5.6,-1.2,1015.6,0,1018.8,0,1,0,1.26,0,,,,,,,2000,,,16.3,0,5.7,5.5,5.7,6.1
105,°­¸ª,2016-01-03 12:00,12.8,0,,,2.1,0,320,0,38,0,5.6,-1.1,1014.8,0,1017.9,0,1,0,1.55,0,,,,,,,2000,,,19.6,0,6.7,6.5,5.7,6.1
105,°­¸ª,2016-01-03 13:00,13.7,0,,,2.9,0,290,0,32,0,5,-2.7,1014,0,1017.1,0,1,0,1.64,0,,,,,,,2000,,,19.8,0,7.6,7.6,5.7,6.1
105,°­¸ª,2016-01-03 14:00,12,0,,,1.8,0,90,0,52,0,7.3,2.4,1013.9,0,1017,0,1,0,1.44,0,,,,,,,1600,,,18.4,0,8.2,8.3,5.8,6.1
105,°­¸ª,2016-01-03 15:00,11.3,0,,,1.9,0,110,0,58,0,7.7,3.3,1014,0,1017.2,0,1,0,1.11,0,,,,,,,1100,,,14.7,0,8.5,8.7,6,6.1
105,°­¸ª,2016-01-03 16:00,10,0,,,2.1,0,70,0,61,0,7.5,2.8,1014.6,0,1017.8,0,.4,0,.49,0,,,,,,,900,,,10.6,0,8.4,8.5,6.2,6.1
105,°­¸ª,2016-01-03 17:00,9.2,0,,,2.1,0,50,0,66,0,7.6,3.1,1014.8,0,1018,0,0,0,.12,0,,,,,,,700,,,8.9,0,8.1,8.2,6.4,6.2
105,°­¸ª,2016-01-03 18:00,8.7,0,,,1.2,0,20,0,68,0,7.6,3.1,1015,0,1018.2,0,0,0,0,0,,,,,,,600,,,8.1,0,7.8,7.9,6.5,6.3
105,°­¸ª,2016-01-03 19:00,8.1,0,,,1.1,0,340,0,70,0,7.5,2.9,1015.1,0,1018.3,0,,9,,9,,,,,,,500,,,6,0,7.4,7.5,6.6,6.3
105,°­¸ª,2016-01-03 20:00,6,0,,,1.8,0,290,0,75,0,7,1.9,1014.8,0,1018,0,,9,,9,,,,,,,510,,,1.9,0,2.7,4.1,5.1,
105,°­¸ª,2016-01-03 21:00,5.5,0,,,1.9,0,290,0,74,0,6.7,1.2,1014.7,0,1017.9,0,,9,,9,,,,,,,700,,,3.9,0,6.4,6.5,6.7,6.4
105,°­¸ª,2016-01-03 22:00,8.9,0,,,5.1,0,290,0,51,0,5.8,-.7,1014.4,0,1017.6,0,,9,,9,,,,,,,900,,,8,0,6,6.1,6.7,6.5
105,°­¸ª,2016-01-03 23:00,9,0,,,4.1,0,290,0,50,0,5.8,-.8,1014.5,0,1017.7,0,,9,,9,,,,,,,800,,,7.8,0,5.9,5.9,6.7,6.6
105,°­¸ª,2016-01-04 00:00,7.2,0,,,2,0,320,0,59,0,6,-.2,1014.2,0,1017.4,0,,9,,9,,,,,,,800,,,5.9,0,5.7,5.6,6.6,6.6
105,°­¸ª,2016-01-04 01:00,7.2,0,,,1.9,0,290,0,56,0,5.7,-1,1013.6,0,1016.8,0,,9,,9,,,,,,,700,,,5.2,0,5.5,5.4,6.6,6.6
105,°­¸ª,2016-01-04 02:00,8.4,0,,,3.7,0,290,0,50,0,5.5,-1.4,1013.4,0,1016.6,0,,9,,9,,,,,,,800,,,7,0,5.3,5.2,6.5,6.6
105,°­¸ª,2016-01-04 03:00,8.2,0,,,2.7,0,270,0,50,0,5.4,-1.6,1013.7,0,1016.9,0,,9,,9,,,,,,,800,,,6.5,0,5.1,5,6.5,6.7
105,°­¸ª,2016-01-04 04:00,8,0,,,3,0,270,0,49,0,5.3,-2,1013.6,0,1016.8,0,,9,,9,,,,,,,800,,,6.6,0,5,4.9,6.4,6.7
105,°­¸ª,2016-01-04 05:00,7.5,0,,,2.5,0,290,0,49,0,5.1,-2.5,1013.3,0,1016.5,0,,9,,9,,,,,,,700,,,5.7,0,4.8,4.7,6.4,6.7
105,°­¸ª,2016-01-04 06:00,7.6,0,,,5.1,0,290,0,46,0,4.8,-3.3,1014.1,0,1017.3,0,,9,,9,,,,,,,800,,,6.6,0,4.7,4.6,6.3,6.6
105,°­¸ª,2016-01-04 07:00,7.2,0,,,4.3,0,290,0,45,0,4.6,-3.9,1014.9,0,1018.1,0,,9,,9,,,,,,,800,,,5.9,0,4.6,4.5,6.2,6.7
105,°­¸ª,2016-01-04 08:00,6.7,0,,,3.8,0,320,0,43,0,4.2,-5,1015.7,0,1018.9,0,0,0,0,0,,,,,,,900,,,5.7,0,4.5,4.4,6.2,6.6
105,°­¸ª,2016-01-04 09:00,7.2,0,,,5.7,0,290,0,40,0,4.1,-5.5,1016.2,0,1019.4,0,.5,0,.25,0,,,,,,,1000,,,7.6,0,4.5,4.4,6.1,6.6
105,°­¸ª,2016-01-04 10:00,8.3,0,,,4.2,0,290,0,37,0,4.1,-5.5,1016.9,0,1020.1,0,1,0,.79,0,,,,,,,1200,,,11.6,0,4.8,4.7,6.1,6.6
105,°­¸ª,2016-01-04 11:00,9.3,0,,,3,0,320,0,30,0,3.5,-7.4,1017,0,1020.2,0,1,0,1.22,0,,,,,,,1500,,,14.5,0,5.5,5.3,6.1,6.6
105,°­¸ª,2016-01-04 12:00,10.5,0,,,1.9,0,320,0,25,0,3.2,-8.7,1016.2,0,1019.4,0,1,0,1.62,0,,,,,,,2000,,,16.6,0,6.5,6.3,6.1,6.6
105,°­¸ª,2016-01-04 13:00,11.4,0,,,2.2,0,110,0,21,0,2.8,-10.2,1015.2,0,1018.4,0,1,0,1.69,0,,,,,,,2000,,,19.6,0,7.4,7.3,6.1,6.5
105,°­¸ª,2016-01-04 14:00,11.1,0,,,3.3,0,20,0,16,0,2.1,-13.8,1015.2,0,1018.4,0,1,0,1.48,0,,,,,,,2000,,,18.1,0,7.9,8.1,6.2,6.5
105,°­¸ª,2016-01-04 15:00,11.6,0,,,1.9,0,320,0,13,0,1.8,-15.9,1015.5,0,1018.7,0,1,0,1.34,0,,,,,,,2000,,,13.1,0,8.2,8.3,6.3,6.6
105,°­¸ª,2016-01-04 16:00,8.2,0,,,3.4,0,90,0,44,0,4.8,-3.3,1016.3,0,1019.5,0,1,0,.95,0,,,,,,,2000,,,13.2,0,8.2,8.2,6.4,6.6
105,°­¸ª,2016-01-04 17:00,6.8,0,,,3.5,0,50,0,46,0,4.5,-4,1016.8,0,1020,0,.9,0,.29,0,,,,,,,1800,,,6.1,0,7.8,7.8,6.6,6.6
105,°­¸ª,2016-01-04 18:00,6,0,,,.9,0,320,0,48,0,4.5,-4.2,1017.4,0,1020.6,0,0,0,0,0,,,,,,,1800,,,3.6,0,7.1,7.1,6.7,6.6
105,°­¸ª,2016-01-04 19:00,5,0,,,1.7,0,320,0,42,0,3.7,-6.8,1017.7,0,1020.9,0,,9,,9,,,,,,,1600,,,3.2,0,6.4,6.4,6.8,6.7
105,°­¸ª,2016-01-04 20:00,5.6,0,,,4.1,0,320,0,23,0,2.1,-13.9,1017.9,0,1021.1,0,,9,,9,,,,,,,2000,,,4.3,0,5.9,5.9,6.8,6.7
105,°­¸ª,2016-01-04 21:00,5.1,0,,,4.6,0,320,0,21,0,1.8,-15.4,1017.9,0,1021.1,0,,9,,9,,,,,,,2000,,,4,0,5.5,5.3,6.8,6.7
105,°­¸ª,2016-01-04 22:00,4.7,0,,,5.7,0,320,0,22,0,1.9,-15.2,1018.4,0,1021.6,0,,9,,9,,,,,,,2000,,,3.9,0,5.1,5,6.7,6.8
105,°­¸ª,2016-01-04 23:00,4.1,0,,,6,0,320,0,24,0,2,-14.7,1018.5,0,1021.8,0,,9,,9,,,,,,,2000,,,3.2,0,4.8,4.6,6.6,6.8
105,°­¸ª,2016-01-05 00:00,3.3,0,,,4.7,0,320,0,27,0,2.1,-13.9,1018.8,0,1022.1,0,,9,,9,,,,,,,2000,,,2.5,0,4.5,4.3,6.5,6.8
105,°­¸ª,2016-01-05 01:00,2.7,0,,,4.2,0,320,0,27,0,2,-14.4,1018.9,0,1022.2,0,,9,,9,,,,,,,2000,,,1.7,0,4.2,4,6.5,6.8
105,°­¸ª,2016-01-05 02:00,2.3,0,,,4.5,0,320,0,27,0,1.9,-14.8,1019,0,1022.3,0,,9,,9,,,,,,,2000,,,1.4,0,3.9,3.7,6.3,6.8
105,°­¸ª,2016-01-05 03:00,1.9,0,,,4.4,0,320,0,26,0,1.8,-15.6,1019.3,0,1022.6,0,,9,,9,,,,,,,2000,,,1.1,0,3.8,3.4,6.2,6.7
105,°­¸ª,2016-01-05 04:00,1.7,0,,,4.2,0,320,0,21,0,1.5,-18.3,1019.1,0,1022.4,0,,9,,9,,,,,,,2000,,,.9,0,3.6,3.2,6.1,6.7
105,°­¸ª,2016-01-05 05:00,1.5,0,,,5,0,290,0,19,0,1.3,-19.6,1019.3,0,1022.6,0,,9,,9,,,,,,,2000,,,.8,0,3.3,3,6,6.7
105,°­¸ª,2016-01-05 06:00,1.4,0,,,4.3,0,290,0,18,0,1.2,-20.4,1019.3,0,1022.6,0,,9,,9,,,,,,,2000,,,.8,0,3.1,2.7,5.9,6.7
105,°­¸ª,2016-01-05 07:00,1.4,0,,,3.8,0,320,0,16,0,1.1,-21.7,1019.8,0,1023.1,0,,9,,9,,,,,,,2000,,,.8,0,3,2.6,5.8,6.7
105,°­¸ª,2016-01-05 08:00,1.5,0,,,3.9,0,320,0,14,0,1,-23.1,1020.3,0,1023.6,0,0,0,0,0,,,,,,,2000,,,.8,0,2.8,2.7,5.7,6.6
105,°­¸ª,2016-01-05 09:00,1.7,0,,,4.9,0,320,0,14,0,1,-23,1020.8,0,1024.1,0,.1,0,.18,0,,,,,,,2000,,,2,0,2.8,2.5,5.6,6.5
105,°­¸ª,2016-01-05 10:00,2.6,0,,,3.7,0,320,0,14,0,1,-22.3,1021.1,0,1024.4,0,.5,0,.58,0,,,,,,,2000,,,5.6,0,3,2.7,5.6,6.5
105,°­¸ª,2016-01-05 11:00,4.6,0,,,3.5,0,290,0,12,0,1,-22.4,1021.5,0,1024.8,0,1,0,1.13,0,,,,,,,2000,,,10.7,0,3.5,3.2,5.5,6.5
105,°­¸ª,2016-01-05 12:00,6.1,0,,,3.6,0,290,0,11,0,1,-22.2,1020.7,0,1023.9,0,1,0,1.86,0,,,,,,,2000,,,12.5,0,4.6,4.2,5.4,6.4
105,°­¸ª,2016-01-05 13:00,6.9,0,,,.9,0,230,0,11,0,1.1,-21.6,1019.7,0,1022.9,0,1,0,1.82,0,,,,,,,2000,,,16,0,5.7,5.4,5.5,6.4
105,°­¸ª,2016-01-05 14:00,7.2,0,,,3.7,0,290,0,11,0,1.1,-21.4,1019,0,1022.2,0,1,0,1.76,0,,,,,,,2000,,,12.9,0,6.4,6.3,5.5,6.3
105,°­¸ª,2016-01-05 15:00,7.2,0,,,3.4,0,290,0,12,0,1.2,-20.3,1019,0,1022.2,0,1,0,1.44,0,,,,,,,2000,,,8.5,0,6.7,6.6,5.6,6.3
105,°­¸ª,2016-01-05 16:00,6.9,0,,,2.8,0,290,0,12,0,1.2,-20.6,1019.4,0,1022.6,0,1,0,.95,0,,,,,,,2000,,,11,0,6.7,6.5,5.8,6.3
105,°­¸ª,2016-01-05 17:00,5,0,,,4,0,290,0,15,0,1.3,-19.5,1020,0,1023.3,0,1,0,.31,0,,,,,,,2000,,,4.3,0,6.3,6.1,5.9,6.3
105,°­¸ª,2016-01-05 18:00,3.6,0,,,2.7,0,320,0,16,0,1.3,-19.9,1020.7,0,1024,0,0,0,0,0,,,,,,,2000,,,1.9,0,5.6,5.5,6,6.3
105,°­¸ª,2016-01-05 19:00,2.6,0,,,2.2,0,290,0,16,0,1.2,-20.7,1021.2,0,1024.5,0,,9,,9,,,,,,,2000,,,1,0,4.8,4.6,6,6.3
105,°­¸ª,2016-01-05 20:00,2.3,0,,,4.6,0,290,0,14,0,1,-22.5,1021.3,0,1024.6,0,,9,,9,,,,,,,2000,,,1.1,0,4.3,4,6,6.3
105,°­¸ª,2016-01-05 21:00,1.5,0,,,3.5,0,320,0,16,0,1.1,-21.6,1021.3,0,1024.6,0,,9,,9,,,,,,,2000,,,.4,0,3.9,3.7,6,6.4
105,°­¸ª,2016-01-05 22:00,1.1,0,,,3.7,0,290,0,16,0,1.1,-22,1021.6,0,1024.9,0,,9,,9,,,,,,,2000,,,.1,0,3.5,3.3,5.9,6.4
105,°­¸ª,2016-01-05 23:00,.6,0,,,4.8,0,290,0,18,0,1.1,-21,1021.6,0,1024.9,0,,9,,9,,,,,,,2000,,,-.4,0,3.1,2.9,5.8,6.4
105,°­¸ª,2016-01-06 00:00,.6,0,,,4,0,320,0,17,0,1.1,-21.7,1021.4,0,1024.7,0,,9,,9,,,,,,,2000,,,-.4,0,2.9,2.7,5.8,6.4
105,°­¸ª,2016-01-06 01:00,0,0,,,3.5,0,320,0,19,0,1.2,-20.9,1020.9,0,1024.2,0,,9,,9,,,,,,,2000,,,-1.2,0,2.6,2.4,5.7,6.3
