번호,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
16,123치과교정과치과의원,치과의원,02-3213-4456,05551,서울특별시 송파구 올림픽로 300 4층 (신천동),
17,123플러스치과의원,치과의원,043-212-2879,28118,"충청북도 청주시 청원구 오창읍 중부로 760 201동 2층 209,210호 (오창 롯데캐슬 더 하이스트)",
18,1945김근치과의원,치과의원,051-809-4707,47257,"부산광역시 부산진구 가야대로 767-1 5층 (부전동, 원광메디컬센터)",
19,1박2일잠실월드플란트치과의원,치과의원,02-3432-2882,05616,서울특별시 송파구 송파대로 437 석촌동174-10덕일빌딩6층 (석촌동),
20,2080자연이치과의원,치과의원,032-529-2080,21437,"인천광역시 부평구 아트센터로 38 401호 (십정동, 동암진명프라자)",
21,2080치과의원,치과의원,054-272-2875,37754,경상북도 포항시 북구 포스코대로 279 (죽도동),
22,2080치과의원,치과의원,842-2080,07387,서울특별시 영등포구 신길로 157 2층 (신길동),
23,2080치과의원,치과의원,02-423-2080,05616,"서울특별시 송파구 백제고분로 365 지하1층 105호 (석촌동, 태문빌딩)",http://dental2080.co.kr/
24,2080치과의원,치과의원,02-986-2875,01189,서울특별시 강북구 솔샘로 231 2층 (미아동),http://www.dentasso.com/main.htm
25,2080치과의원,치과의원,051-583-2080,48018,"부산광역시 해운대구 아랫반송로 12 2층 (반송동, 서울메디컬센터)",
26,2080치과의원,치과의원,051-338-2080,46621,부산광역시 북구 시랑로 75 2층 (구포동),
27,2080치과의원,치과의원,032-545-7242,21100,인천광역시 계양구 봉오대로477번길 19 태산상가 501호 (효성동),
28,2080치과의원,치과의원,062-955-2895,62299,광주광역시 광산구 수등로 258 301호 (신가동),
29,21세기좋은치과의원,치과의원,052-282-7582,44228,울산광역시 북구 호계로 283 (호계동),
30,21세기치과교정과치과의원,치과의원,061-662-2878,59721,전라남도 여수시 여서로 162 (여서동),
31,21세기치과의원,치과의원,054-246-2804,37624,경상북도 포항시 북구 학전로111번길 43 (두호동),
32,21세기치과의원,치과의원,051-703-7533,48111,"부산광역시 해운대구 해운대로 814 B동 424호 (좌동, 세종월드)",
33,21세기치과의원,치과의원,051-633-2028,48735,"부산광역시 동구 범일로 125 (범일동, 현대백화점)",
34,21세기치과의원,치과의원,031-511-7528,12168,경기도 남양주시 화도읍 묵현로 15 2층,
35,21세기치과의원,치과의원,031-708-0021,13586,"경기도 성남시 분당구 돌마로 482 3층 (서현동, 주영빌딩)",http://www.21dent.co.kr/21cinfo/21cinfo03.html?hospital=분당
36,21세기치과의원,치과의원,062-971-2808,62280,광주광역시 광산구 첨단중앙로68번길 99 2층 (산월동),
37,22세기서울치과병원,치과병원,032-858-2080,21995,"인천광역시 연수구 컨벤시아대로 69 415호 (송도동, 송도 밀레니엄)",
38,275치과의원,치과의원,031-764-7645,12788,경기도 광주시 태전중앙로 20 스카이가든 401호 (태전동),
39,28지킴이치과의원,치과의원,033-747-2891,26436,강원도 원주시 봉화로 16 (단계동),
40,2디자인치과의원,치과의원,043-904-2080,28424,"충청북도 청주시 흥덕구 대농로 39 503호 (복대동, LK트리플렉스빌딩)",
41,333치과의원,치과의원,031-8003-3336,18450,"경기도 화성시 삼성1로 150 201호 (석우동, 파아란오피스텔)",
42,365디지털치과의원,치과의원,042-476-2875,35230,대전광역시 서구 대덕대로 189 6~7층 (둔산동),
43,365바른약속치과의원,치과의원,055-288-2080,51381,"경상남도 창원시 의창구 원이대로56번길 2-41 4,5층 (도계동)",
44,365스마일치과의원,치과의원,031-375-2754,18499,경기도 화성시 동탄대로1길 3 3층 (장지동),
45,365앞선치과의원,치과의원,042-934-7528,34016,대전광역시 유성구 테크노1로 12-28 메종드세이 2층 212~223호 (관평동),
46,365연세치과의원,치과의원,042-867-0365,34195,대전광역시 유성구 동서대로 685 3층 (원신흥동),
47,365열린치과의원,치과의원,053-965-7528,41084,대구광역시 동구 안심로 389-2 2층 (신서동),
48,365열린치과의원,치과의원,053-814-0365,38664,"경상북도 경산시 옥산로 227 2층 (중산동, 이마트경산점)",
49,365온가족치과의원,치과의원,031-304-2888,18309,경기도 화성시 봉담읍 상리중심상가길 6-4 301~304호,
50,365일이가편한연세치과의원,치과의원,031-283-3651,16911,"경기도 용인시 기흥구 마북로 164 203호 (마북동, 테라스가든 A빌딩)",
51,365일이편한치과의원,치과의원,031-267-0511,18401,"경기도 화성시 병점로 37-6 307호 (진안동, 메트로프라자)",
52,365치과의원,치과의원,031-847-2755,12084,경기도 남양주시 별내면 청학로68번길 13 2층 (삼화빌딩),
53,365플러스치과의원,치과의원,031-791-2870,12912,"경기도 하남시 미사강변동로84번길 39 에코타워 406일부, 407일부, 408~409호 (망월동)",365plusdental.com
54,365하하28치과의원,치과의원,031-908-2804,10447,경기도 고양시 일산동구 중앙로 1072 902호 (백석동),
55,42좋은치과의원,치과의원,031-213-4242,16282,경기도 수원시 장안구 조원로 86 2층 (조원동),
56,4월31일치과의원,치과의원,02-562-2875,06110,"서울특별시 강남구 강남대로 548 5층 (논현동, 건우빌딩)",http://april31-dental.co.kr/
57,55플란트치과의원,치과의원,053-654-0055,42482,"대구광역시 남구 대명로 6 6,7층 (대명동)",
58,66정플란트치과의원,치과의원,055-372-2875,50549,경상남도 양산시 평산로 7 기복산빌딩 2층 (평산동),
59,75플란트신동일치과의원,치과의원,041-735-3828,32951,"충청남도 논산시 중앙로 473-1 (반월동, 제일빌딩)",
60,79플란트 치과의원,치과의원,055-585-7928,52045,경상남도 함안군 가야읍 가야로 60 홍성빌딩 6층,
61,8020치과의원,치과의원,041-733-8020,32969,충청남도 논산시 해월로 174 (반월동),
62,81도치과교정과치과의원,치과의원,02-6101-7579,06644,"서울특별시 서초구 서초대로 286 2층 202호 (서초동, 서초프라자)",
63,88월드치과의원,치과의원,02-832-7588,07417,서울특별시 영등포구 도림로 144 88월드타워 3층 (대림동),
64,88청춘치과의원,치과의원,062-263-8828,61161,광주광역시 북구 밤실로 162 3층 (두암동),
65,ABC치과의원,치과의원,055-384-2875,50613,"경상남도 양산시 물금읍 청운로 185 오즈시티 402, 403호",http://abcdental.kr
66,B&B치과의원,치과의원,02-1800-5487,05699,"서울특별시 송파구 양재대로 932 청과물동 3층 (가락동, 가락농수산물시장)",
67,BK치과의원,치과의원,043-264-0006,28451,충청북도 청주시 흥덕구 직지대로 623 2층 (봉명동),
68,BNC치과의원,치과의원,031-273-2782,16703,"경기도 수원시 영통구 봉영로 1569 3층 306호 (영통동, 뉴월드프라자)",
69,C&K연합치과의원,치과의원,051-752-7528,48266,"부산광역시 수영구 수영로 710-1 7층 (광안동, 프라임메디컬)",
70,CDC해운대어린이치과의원,치과의원,051-746-1275,48101,"부산광역시 해운대구 좌동순환로 506 804호 (중동, 영풍리젠시)",http://hae.i275.co.kr/
71,CK치과병원,치과병원,052-270-2800,44695,울산광역시 남구 삼산로 173 (달동),
72,CMC정세헌치과의원,치과의원,055-687-2754,53222,경상남도 거제시 옥포대첩로 31 (옥포동),
73,CS연합치과의원,치과의원,055-312-2875,51004,"경상남도 김해시 번화1로56번길 15 3층 (대청동, 롯데마트)",
74,Dr. 한 치과의원,치과의원,063-852-2766,54661,전라북도 익산시 고현로 114 3층 (모현동1가),http://
75,Dr.서치과의원,치과의원,02-3402-2111,05657,서울특별시 송파구 양재대로 1148 (오금동),http://www.drsir.co.kr/
76,E&I치과의원,치과의원,02-966-2875,02566,서울특별시 동대문구 고산자로 399 4층 (용두동),http://www.enident.co.kr
77,E-믿음치과의원,치과의원,031-480-2804,15476,"경기도 안산시 단원구 광덕2로 164 5층 (고잔동, 메디피아빌딩)",
78,E-타임치과의원,치과의원,055-552-2211,51592,"경상남도 창원시 진해구 냉천남로 3 302호 (자은동, 엠타워)",
79,E-행복한치과의원,치과의원,053-426-2875,42757,대구광역시 달서구 조암남로 38 403호 (월성동),
80,E-행복한치과의원,치과의원,02-415-2801,05501,"서울특별시 송파구 올림픽로 119 3층 3A-02호 (잠실동, 파인애플상가)",
81,E-호재치과의원,치과의원,031-696-1275,13590,"경기도 성남시 분당구 황새울로335번길 5 401호 401-2호 (서현동, 앤다운빌딩)",
82,EB치과의원,치과의원,02-3394-7555,02522,서울특별시 동대문구 장한로 170 (장안동),
83,E건강치과의원,치과의원,053-851-9500,38487,경상북도 경산시 진량읍 공단로 475 475,
84,E편한치과의원,치과의원,031-674-7582,17570,"경기도 안성시 비룡로 26 2층 (당왕동, 쌍용@)",
85,FM치과의원,치과의원,063-834-2828,54638,전라북도 익산시 동서로51길 79 (영등동),
86,G7치과의원,치과의원,031-263-2275,16930,"경기도 용인시 수지구 만현로 110 (상현동, 원희캐슬프라자 A동 401,402호)",
87,GM치과의원,치과의원,032-552-4393,21083,인천광역시 계양구 장제로 735 3층 (작전동),
88,H플란트치과의원,치과의원,031-258-2080,16295,경기도 수원시 장안구 경수대로 930 4층 X9 YE호 (조원동),www.homeplantdc.co.kr
89,I-플러스치과의원,치과의원,031-214-2821,16954,경기도 용인시 기흥구 흥덕2로87번길 18 이씨티 A동 210호 (영덕동),
90,IP&I치과의원,치과의원,02-735-1135,03143,"서울특별시 종로구 율곡로2길 7 306호 (수송동, 로얄팰리스)",
91,JnS오치과의원,치과의원,02-6415-2875,05639,"서울특별시 송파구 위례성대로18길 31-20 (방이동, MIK타워 401호)",www.jns5dental.com
92,K&K서울치과의원,치과의원,051-522-0115,47772,"부산광역시 동래구 명안로85번길 52 5층 (명장동, 명장랜드마크)",
93,K2S치과의원,치과의원,055-311-2875,50902,"경상남도 김해시 삼계중앙로 22 203호 (삼계동, 굿타임빌딩)",
94,KS병원,종합병원,062-975-9000,62248,광주광역시 광산구 왕버들로 220  (수완동),http://www.kshosp.com
95,L&B치과의원,치과의원,02-994-8275,01073,"서울특별시 강북구 도봉로 325 5층 (수유동, 수성타워)",
96,LA남경치과의원,치과의원,053-958-2875,41218,"대구광역시 동구 아양로 178 3층 (신암동, 동창빌딩)",
97,LA성모치과의원,치과의원,02-6242-7582,13837,경기도 과천시 별양상가3로 11 이마트 과천점 8층 7호 (별양동),
98,LA치과의원,치과의원,043-293-2341,28776,"충청북도 청주시 상당구 중흥로 54 3층 (용암동, 대종빌딩)",
99,LA치과의원,치과의원,051-752-2875,48243,부산광역시 수영구 연수로 418 3층 (광안동),
100,LA포스치과의원,치과의원,031-786-1188,13595,"경기도 성남시 분당구 백현로101번길 21 (수내동, 4층(일부))",
101,LBO산치과의원,치과의원,02-435-7716,02117,서울특별시 중랑구 망우로 247 로얄스포츠센터 2층 (중화동),
102,LH치과의원,치과의원,922-6060,52852,"경상남도 진주시 충의로 19 (충무공동, 한국토지주택공사)",
103,LH치과의원,치과의원,031-738-5183,13637,"경기도 성남시 분당구 성남대로54번길 3 3층 (구미동, LH 별관)",
104,LIM`s코스모치과의원,치과의원,042-864-5115,34121,대전광역시 유성구 대덕대로 582 옥토빌딩 3층 301호 (도룡동),
105,L아름다운치과의원,치과의원,032-751-2275,22371,인천광역시 중구 흰바위로 51 3층 (운서동),
106,MK참사랑치과의원,치과의원,031-758-2817,13110,경기도 성남시 수정구 수정로 59 3층 (태평동),
107,M치과의원,치과의원,031-493-2895,15393,경기도 안산시 단원구 다문화길 18 3층 (원곡동),
108,NYU아름다운치과교정과치과의원,치과의원,031-896-7528,16841,"경기도 용인시 수지구 문정로7번길 20 501호 (풍덕천동, 혜명빌딩)",
109,NYU이문치과의원,치과의원,02-968-3208,02403,서울특별시 동대문구 이문로 125 2층 (이문동),
110,NY단치과의원,치과의원,041-571-2842,31204,충청남도 천안시 동남구 통정5로 67 2층 (신방동),
111,NY드림치과의원,치과의원,033-269-7575,24420,강원도 춘천시 지석로 80 5층 (퇴계동),
112,NY치과의원,치과의원,02-867-7528,08849,서울특별시 관악구 난곡로 226 3층 (신림동),http://ny-dental.net 
113,O.K.Line치과의원,치과의원,042-863-2875,34049,대전광역시 유성구 엑스포로 488 (전민동),
114,OE오이치과의원,치과의원,031-945-5272,10915,경기도 파주시 금빛로 24 4층 402-403호 (금촌동),
115,OK부부치과의원,치과의원,02-358-8020,03328,서울특별시 은평구 통일로 901 3층 (갈현동),
116,OK치과의원,치과의원,055-332-0220,50998,"경상남도 김해시 계동로 15 204호 (관동동, 덕천옥스포드빌딩)",
117,OK치과의원,치과의원,02-868-0038,08862,"서울특별시 관악구 난곡로 53 406호 (신림동, 관악산휴먼시아상가)",
118,Q-프라임치과의원,치과의원,032-883-2080,22333,인천광역시 중구 인항로 42 3층 (신흥동3가),
119,SCH서울아동병원,병원,055-647-0778,53037,경상남도 통영시 중앙로 334-1 5~9층 (무전동),
120,SKY(스카이)치과의원,치과의원,02-3452-2828,06236,"서울특별시 강남구 테헤란로26길 10 3층 (역삼동, 성보빌딩)",http://www.skydental.kr
121,SK가스/디스커버리부속치과의원,치과의원,02-2008-2275,13494,경기도 성남시 분당구 판교로 310 3층 (삼평동),
122,SK금강치과의원,치과의원,055-288-2875,51573,"경상남도 창원시 성산구 완암로 50 (성산동, SK테크노파크)",
123,SK에코플랜트부속치과의원,치과의원,02-3499-1000,03143,"서울특별시 종로구 율곡로2길 19 2층 (수송동, 수송타워빌딩)",
124,SM스마트치과의원,치과의원,041-565-2875,31198,충청남도 천안시 동남구 청수11로 13-11 9층 (청당동),
125,SM차치과의원,치과의원,055-261-2875,51495,"경상남도 창원시 성산구 원이대로 654 (상남동, 세인프라자)",
126,SM치과의원,치과의원,052-227-7528,44725,울산광역시 남구 삼산로 136 3층 (달동),
127,SNC시카고치과의원,치과의원,032-224-2275,22188,인천광역시 미추홀구 독배로 311 비젼프라자 3층 302호 (용현동),
128,S다인치과의원,치과의원,02-990-0026,01062,"서울특별시 강북구 도봉로 320 (번동, 제이제이타워)",
129,S뷰드림치과의원,치과의원,055-687-3270,53223,"경상남도 거제시 옥포로21길 1 2층 (옥포동, 소해빌딩)",
130,S플러스치과의원,치과의원,031-8017-2855,13466,"경기도 성남시 분당구 운중로 122 303호 (운중동, 골드클래스)",
131,THE(더) 조은 치과의원,치과의원,031-843-2080,11492,"경기도 양주시 고읍남로 2 (광사동, 해동월드타워 401,402호)",http://www.thejoeun.org/
132,THE웃는치과의원,치과의원,031-337-2879,17055,경기도 용인시 처인구 명지로40번길 4 303호 (역북동),
133,THE착한치과의원,치과의원,032-777-2877,22322,"인천광역시 중구 우현로39번길 4-2 1,2층 (신포동)",
134,The나은치과의원,치과의원,031-202-2891,16700,"경기도 수원시 영통구 봉영로1517번길 23 205호 (영통동, 벽적골9단지 주공아파트)",
135,The열린치과의원,치과의원,031-571-2872,12008,경기도 남양주시 진접읍 금강로 1445 (진접클리닉),
136,The이해승치과의원,치과의원,031-952-3872,10821,"경기도 파주시 문산읍 문향로 71 신성타워 401,402,403,404호",
137,U-그린치과의원,치과의원,031-276-2801,16943,경기도 용인시 수지구 광교중앙로 298 드림타워2 301호 (상현동),
138,UC성심치과의원,치과의원,02-432-7528,02165,서울특별시 중랑구 용마산로 503 5층 (망우동),
139,UDC치과의원,치과의원,054-474-2275,39431,경상북도 구미시 인동가산로 23 701호 (황상동),http://www.udcdental.co.kr
140,UIC시카고치과의원,치과의원,054-453-8228,39312,경상북도 구미시 형곡로 179 (형곡동),
141,UIC시카고치과의원,치과의원,031-572-7522,12113,"경기도 남양주시 별내중앙로 24 (별내동, 이레타워 303호,304호)",
142,UIC아름다운치과의원,치과의원,051-202-2804,49355,부산광역시 사하구 사하로 200 502호 (괴정동),http://www.chicagodent.co.kr/
143,UP백 치과의원,치과의원,032-547-3433,21098,인천광역시 계양구 안남로565번길 2 (효성동),
144,USC서울치과의원,치과의원,042-538-2875,34892,대전광역시 중구 동서대로 1218 3층 302호 (태평동),
145,W(더블유)치과의원,치과의원,02-951-2233,01762,"서울특별시 노원구 노해로 466 (상계동, NH농협증권)",
146,W7치과의원,치과의원,031-707-9577,13461,"경기도 성남시 분당구 운중로 115 302~303호 (운중동, 판오션타워상가)",http://www.wseven.co.kr
147,W서울화이트치과의원,치과의원,906-2080,01883,"서울특별시 노원구 월계로45길 21 205호 (월계동, 롯데캐슬루나상가)",
148,W치과의원,치과의원,032-614-2080,14557,경기도 부천시 부천로 196 403호 (춘의동),
149,W치과의원,치과의원,02-400-2750,05828,서울특별시 송파구 중대로 146 3층 (가락동),
150,W치과의원,치과의원,051-625-2842,48434,"부산광역시 남구 수영로 323 4층 402호 (대연동, 태강프라자)",
151,W화이트치과의원,치과의원,062-225-7300,61431,"광주광역시 동구 동계천로 74 (장동, 제일빌딩3층)",http://w-white.co.kr
152,YC리더스치과의원,치과의원,054-334-1689,38858,경상북도 영천시 호국로 45 1~3층 (야사동),http://
153,YS삼성치과의원,치과의원,031-832-5275,11033,경기도 연천군 전곡읍 전곡로 180 2층,
154,e(이)-편한치과의원,치과의원,064-758-2800,63233,제주특별자치도 제주시 연북로 527 (아라일동),http://e-pretty.co.kr
155,e-(이)편한치과의원,치과의원,052-258-2235,44705,울산광역시 남구 삼산로 281 5층 (삼산동),
156,e-고은치과의원,치과의원,064-725-2875,63253,"제주특별자치도 제주시 동광로 131 7층 (일도이동, 일도크리닉빌딩)",
157,e-드림치과의원,치과의원,031-227-2080,16362,경기도 수원시 장안구 서부로 2123 (율전동),
158,e-미소치과의원,치과의원,031-397-2275,15871,"경기도 군포시 용호1로 20 302호 (당동, 동영프라자)",
159,e-미소치과의원,치과의원,031-848-7528,11789,"경기도 의정부시 오목로 37 3층 (용현동, 청룡빌딩)",
160,e-바른치과의원,치과의원,062-385-7528,62036,광주광역시 서구 운천로 12-1 2층 (금호동),
161,e-바른치과의원,치과의원,02-2697-8997,07715,"서울특별시 강서구 강서로 163 3층 (화곡동, 콤마빌딩)",
162,e-사랑치과의원,치과의원,055-274-0428,51442,"경상남도 창원시 의창구 상남로192번길 41-3 (신월동, 남전빌딩)",
163,e-서울치과의원,치과의원,031-477-2275,14125,"경기도 안양시 동안구 경수대로 462 305호 (호계동, 현대홈타운2차아파트상가)",
164,e-스마일치과의원,치과의원,064-726-2882,63259,제주특별자치도 제주시 고마로 149 2층 (일도이동),
165,e-스타치과의원,치과의원,02-333-2028,03789,서울특별시 서대문구 신촌로 79 3층 (창천동),http://www.star-dental.kr
166,e-아름다운치과의원,치과의원,031-734-7528,13225,경기도 성남시 중원구 희망로 312 2층 (상대원동),
167,e-아름다운치과의원,치과의원,02-313-5248,03742,서울특별시 서대문구 충정로 8 (충정로3가),
168,e-아름다운치과의원,치과의원,031-411-2876,15382,"경기도 안산시 단원구 라성안길 17 303-1호 (원곡동, 베스트프라자)",
169,e-안치과의원,치과의원,02-997-2275,01473,"서울특별시 도봉구 덕릉로 240 2층 (창동, 성원빌딩)",
170,e-조아치과의원,치과의원,031-752-2875,13290,경기도 성남시 수정구 수정로 185 7층 (태평동),
171,e-조은치과의원,치과의원,064-743-8275,63051,제주특별자치도 제주시 애월읍 하귀로 83 2층,
172,e-조은치과의원,치과의원,031-491-5956,15070,"경기도 시흥시 군자로 514 204호 (거모동, 거모프라자)",
173,e-조은치과의원,치과의원,032-657-2828,14603,"경기도 부천시 부흥로 184 2층 (중동, 태산빌딩)",
174,e-조은치과의원,치과의원,063-263-2875,55316,전라북도 완주군 봉동읍 둔산3로 79 (봉동읍),
175,e-좋은치과의원,치과의원,043-648-2882,27192,충청북도 제천시 청풍호로 100 201호 (강제동),
176,e-좋은치과의원,치과의원,02-986-2804,01117,서울특별시 강북구 도봉로 255 4층 (수유동),
177,e-좋은치과의원,치과의원,02-2634-7582,07301,서울특별시 영등포구 영신로34길 1 (영등포동4가),
178,e-좋은치과의원,치과의원,803-7777,08616,서울특별시 금천구 시흥대로 368 2층 (독산동),
179,e-좋은치과의원,치과의원,031-469-2842,14006,"경기도 안양시 만안구 안양로 343 2층 (안양동, 에버그린)",
180,e-좋은치과의원,치과의원,031-398-7522,15856,"경기도 군포시 고산로 248 402,403호 (당동, 은하프라자)",
181,e-좋은치과의원,치과의원,031-475-2875,15454,"경기도 안산시 단원구 초지1로 78 301호 (초지동, 서해아파트상가)",
182,e-클린치과의원,치과의원,062-384-2804,61942,광주광역시 서구 상일로 32 2층 (쌍촌동),
183,e-편한치과의원,치과의원,055-331-8228,50901,"경상남도 김해시 삼계중앙로 59 202,203호 (삼계동, 유토피아빌딩)",
184,e-편한치과의원,치과의원,02-3423-2805,02024,"서울특별시 중랑구 신내로 211 202호 (신내동, 금강리빙스텔)",
185,e-편한치과의원,치과의원,02-722-9695,03729,"서울특별시 서대문구 모래내로24가길 30 1,2층 (홍제동)",http://souldental.gnueds.com/
186,e-편한치과의원,치과의원,02-930-0028,01617,"서울특별시 노원구 동일로227길 26 (상계동, 상계주공15단지아파트)",
187,e-편한치과의원,치과의원,031-982-7575,10110,"경기도 김포시 김포대로 835 404호 (사우동, 이프라자)",
188,e-편한치과의원,치과의원,031-873-2828,11703,경기도 의정부시 회룡로 145 (호원동),
189,e-편한치과의원,치과의원,031-401-2772,15359,"경기도 안산시 단원구 고잔로 54 409-411호 (고잔동, 에이스타워)",
190,e-편한치과의원,치과의원,031-942-0028,10930,경기도 파주시 중앙로 276 2층 (금촌동),
191,e-편한치과의원,치과의원,031-796-2841,12969,경기도 하남시 신장로 144 2층 (덕풍동),
192,e-편한치과의원,치과의원,032-812-7528,21931,"인천광역시 연수구 원인재로 180 303호 (연수동, 연수우성2차아파트)",
193,e-편한치과의원,치과의원,061-651-2279,59721,전라남도 여수시 여서로 168 3층 (여서동),
194,e-편한치과의원,치과의원,062-261-2860,61133,광주광역시 북구 서하로 372 2층 (문흥동),
195,e-푸른치과의원,치과의원,062-515-2275,61096,광주광역시 북구 북문대로 242 3층 (동림동),
196,e-플란트미래치과의원,치과의원,033-764-7528,26448,"강원도 원주시 서원대로 383 4층 (개운동, 한신플라자)",
197,e-플란트치과의원,치과의원,02-2667-2080,07635,"서울특별시 강서구 수명로 72 502호 (내발산동, 발산신성프라자)",
198,e-플랜트치과의원,치과의원,052-267-5882,44722,울산광역시 남구 삼산로108번길 4 2~4층 (달동),http://www.im-plant.com
199,e-플랜트치과의원,치과의원,051-559-5882,47710,부산광역시 동래구 중앙대로 1523 (온천동),
200,e-플랜트치과의원,치과의원,031-744-2804,13346,경기도 성남시 수정구 수정로 208 (신흥동),
201,e-하얀치과의원,치과의원,032-665-9988,14726,경기도 부천시 경인로 126 길메디칼빌딩 4층 (송내동),
202,e-하얀치과의원,치과의원,02-409-2275,05711,"서울특별시 송파구 중대로9길 41 2층 (가락동, 익수빌딩)",http://www.ehayan.co.kr/
203,e-하얀치과의원,치과의원,031-423-2234,16039,경기도 의왕시 계원대학로 20 (내손동),
204,e-하하치과의원,치과의원,031-423-8020,14063,"경기도 안양시 동안구 흥안대로 416 4층 (평촌동, 영우빌딩)",
205,e-화이트치과의원,치과의원,051-633-2272,47365,부산광역시 부산진구 골드테마길 2 (범천동),
206,e365치과의원,치과의원,02-302-2365,03709,서울특별시 서대문구 수색로 56 3층 307호 (북가좌동),http://
207,e가지런한치과의원,치과의원,055-274-2885,51514,"경상남도 창원시 성산구 용지로133번길 5 (중앙동, 키다리빌딩)",http://www.egajirunhan.com
208,e그린치과의원,치과의원,031-557-2275,12255,"경기도 남양주시 도농로 29 205호 (도농동, 부영프라자)",
209,e드림치과의원,치과의원,053-633-3060,42778,대구광역시 달서구 진천로 92 3층 (대천동),
210,e드림치과의원,치과의원,031-527-7575,12097,"경기도 남양주시 별내3로 334 (별내동, 다우프라자 402호)",
211,e라인치과의원,치과의원,612-2885,48434,"부산광역시 남구 수영로 299 (대연동, 루미너스타워7층일부)",
212,e바로치과의원,치과의원,031-8016-8528,13524,"경기도 성남시 분당구 판교역로 178 802호 (삼평동, 서건타워)",http://www.ebaro.co.kr/
213,e사랑치과의원,치과의원,02-6406-2875,01397,서울특별시 도봉구 도봉로 618 (창동),
214,e사이언스치과의원,치과의원,051-808-8051,47256,부산광역시 부산진구 새싹로 17 서면빌딩 3층 (부전동),
215,e열린치과의원,치과의원,052-239-7575,44973,울산광역시 울주군 온양읍 대운길 27 2층,
216,e웰니스치과의원,치과의원,051-867-2885,47540,"부산광역시 연제구 중앙대로 1099 (연산동, A동 4층일부)",http://www.ewellness.co.kr
217,e은혜치과의원,치과의원,062-571-2882,61074,광주광역시 북구 임방울대로 1044 4층 (용두동),
218,e조은치과의원,치과의원,033-242-2877,24433,강원도 춘천시 영서로 2333 (온의동),
219,e조은치과의원,치과의원,02-988-2804,01189,서울특별시 강북구 솔샘로 233 (미아동),
220,e튼튼치과의원,치과의원,052-237-2208,45006,울산광역시 울주군 온산읍 덕남로 5 2층,
221,e튼튼치과의원,치과의원,031-212-3575,16505,"경기도 수원시 영통구 센트럴타운로 92 4층 402호 (이의동, 광교대림프라자)",
222,e튼튼치과의원,치과의원,02-472-7522,13004,경기도 하남시 감일백제로 109 M타워 감일 202~204호 (감이동),
223,e퍼스트치과의원,치과의원,062-675-2235,61744,광주광역시 남구 효덕로 302 4층 (진월동),
224,e편한치과의원,치과의원,055-351-2101,50435,경상남도 밀양시 삼문강변로 344-6 4층 (삼문동),
225,e편한치과의원,치과의원,031-281-8181,16967,경기도 용인시 기흥구 중부대로 343-1 (신갈동),
226,e푸른치과의원,치과의원,052-247-7996,44719,울산광역시 남구 삼산로 272 11층 (삼산동),
227,e푸른치과의원,치과의원,031-731-1311,13140,경기도 성남시 수정구 산성대로 495 2층 (양지동),
228,e푸른치과의원,치과의원,062-962-2828,62328,광주광역시 광산구 풍영로 37 301호 (월곡동),
229,e프란트치과의원,치과의원,031-608-2875,16828,"경기도 용인시 수지구 문인로54번길 2 405~406호 (동천동, 수지하우비)",
