일자|시간|구분,공급량
2019-01-04 19 A,2832.7347823440427
2019-01-04 20 A,2884.9877197724745
2019-01-04 21 A,2871.704269218522
2019-01-04 22 A,2828.6331100297716
2019-01-04 23 A,2729.801839986536
2019-01-04 24 A,2595.9507375145076
2019-01-05 01 A,2151.752539674911
2019-01-05 02 A,1998.5218086515597
2019-01-05 03 A,1927.7659542218457
2019-01-05 04 A,1940.3513133820877
2019-01-05 05 A,2098.6944701593725
2019-01-05 06 A,2219.612601364746
2019-01-05 07 A,2469.3243219479136
2019-01-05 08 A,2713.6936599397295
2019-01-05 09 A,2766.836489799038
2019-01-05 10 A,2751.719371024037
2019-01-05 11 A,2705.132291572571
2019-01-05 12 A,2499.915332186462
2019-01-05 13 A,2434.5108987651156
2019-01-05 14 A,2332.526923243972
2019-01-05 15 A,2250.1755581571915
2019-01-05 16 A,2221.4507780434283
2019-01-05 17 A,2258.485451729451
2019-01-05 18 A,2413.352201379359
2019-01-05 19 A,2652.398079817575
2019-01-05 20 A,2683.40253798345
2019-01-05 21 A,2670.1190874294975
2019-01-05 22 A,2627.0479282407473
2019-01-05 23 A,2554.519207070936
2019-01-05 24 A,2455.04620088101
2019-01-06 01 A,2059.3971320644364
2019-01-06 02 A,1917.6268090344106
2019-01-06 03 A,1864.5266243914111
2019-01-06 04 A,1877.111983551653
2019-01-06 05 A,1943.0671708796897
2019-01-06 06 A,2063.9853020850637
2019-01-06 07 A,2302.4871777213775
2019-01-06 08 A,2463.852470942922
2019-01-06 09 A,2572.6201414193238
2019-01-06 10 A,2579.132550442049
2019-01-06 11 A,2546.719602412604
2019-01-06 12 A,2341.5026430264948
2019-01-06 13 A,2300.8348307457227
2019-01-06 14 A,2223.458962863376
2019-01-06 15 A,2159.631951503038
2019-01-06 16 A,2132.837236564699
2019-01-06 17 A,2169.871910250722
2019-01-06 18 A,2341.2302669726723
2019-01-06 19 A,2586.3732950859476
2019-01-06 20 A,2623.1941786758935
2019-01-06 21 A,2612.19041045391
2019-01-06 22 A,2562.6684260268185
2019-01-06 23 A,2480.435358772684
2019-01-06 24 A,2383.6899866820777
2019-01-07 01 A,1974.7365568550554
2019-01-07 02 A,1834.7689939607412
2019-01-07 03 A,1799.582431860189
2019-01-07 04 A,1804.1061505444177
2019-01-07 05 A,2022.174846164026
2019-01-07 06 A,2177.350192434574
2019-01-07 07 A,2493.7035173334093
2019-01-07 08 A,3011.6003225524805
2019-01-07 09 A,3011.6003225524805
2019-01-07 10 A,2852.4810698781143
2019-01-07 11 A,2754.383378830137
2019-01-07 12 A,2489.9751474051814
2019-01-07 13 A,2420.42460430162
2019-01-07 14 A,2276.092849536912
2019-01-07 15 A,2158.2545988193087
2019-01-07 16 A,2129.5298187055455
2019-01-07 17 A,2166.5644923915684
2019-01-07 18 A,2354.204378783146
2019-01-07 19 A,2703.5267612956395
2019-01-07 20 A,2764.290290438449
2019-01-07 21 A,2757.5799956391697
2019-01-07 22 A,2728.490408536529
2019-01-07 23 A,2615.691380899518
2019-01-07 24 A,2428.2392747526883
2019-01-08 01 A,1957.8374666311418
2019-01-08 02 A,1804.1134975526056
2019-01-08 03 A,1731.4580160196567
2019-01-08 04 A,1744.2921131803562
2019-01-08 05 A,1956.5060943034898
2019-01-08 06 A,2105.2042187817224
2019-01-08 07 A,2414.550446417786
2019-01-08 08 A,2905.1686804338287
2019-01-08 09 A,2905.1686804338287
2019-01-08 10 A,2746.0494277594626
2019-01-08 11 A,2666.245313090869
2019-01-08 12 A,2401.837081665913
2019-01-08 13 A,2332.286538562352
2019-01-08 14 A,2187.954783797644
2019-01-08 15 A,2070.1165330800404
2019-01-08 16 A,2041.3917529662785
2019-01-08 17 A,2078.4264266523
2019-01-08 18 A,2266.0663130438775
2019-01-08 19 A,2615.388695556371
2019-01-08 20 A,2676.152224699181
2019-01-08 21 A,2669.4419298999014
2019-01-08 22 A,2640.3523427972605
2019-01-08 23 A,2527.55331516025
2019-01-08 24 A,2340.10120901342
2019-01-09 01 A,2046.743431220334
2019-01-09 02 A,1893.019462141798
2019-01-09 03 A,1813.92219903605
2019-01-09 04 A,1826.7562961967494
2019-01-09 05 A,2037.4669362265172
2019-01-09 06 A,2186.16506070475
2019-01-09 07 A,2495.511288340814
2019-01-09 08 A,2997.115752754068
2019-01-09 09 A,2997.115752754068
2019-01-09 10 A,2837.996500079702
2019-01-09 11 A,2758.1923854111083
2019-01-09 12 A,2493.7841539861524
2019-01-09 13 A,2407.585387126598
2019-01-09 14 A,2250.5243993526587
2019-01-09 15 A,2132.6861486350554
2019-01-09 16 A,2103.961368521292
2019-01-09 17 A,2140.996042207315
2019-01-09 18 A,2355.988236372367
2019-01-09 19 A,2705.3106188848606
2019-01-09 20 A,2766.07414802767
2019-01-09 21 A,2759.363853228391
2019-01-09 22 A,2730.27426612575
2019-01-09 23 A,2617.4752384887393
2019-01-09 24 A,2430.0231323419093
2019-01-10 01 A,2091.4203689081087
2019-01-10 02 A,1937.6963998295726
2019-01-10 03 A,1858.5991367238246
2019-01-10 04 A,1871.433233884524
2019-01-10 05 A,2082.1438739142914
2019-01-10 06 A,2230.841998392525
2019-01-10 07 A,2540.1882260285893
2019-01-10 08 A,3065.1042760051696
2019-01-10 09 A,3065.1042760051696
2019-01-10 10 A,2905.9850233308034
2019-01-10 11 A,2802.8693230988833
2019-01-10 12 A,2538.4610916739275
2019-01-10 13 A,2452.262324814373
2019-01-10 14 A,2295.201337040434
2019-01-10 15 A,2177.3630863228304
2019-01-10 16 A,2148.638306209067
2019-01-10 17 A,2185.67297989509
2019-01-10 18 A,2400.665174060142
2019-01-10 19 A,2749.9875565726356
2019-01-10 20 A,2810.7510857154452
2019-01-10 21 A,2804.040790916166
2019-01-10 22 A,2774.951203813525
2019-01-10 23 A,2662.1521761765143
2019-01-10 24 A,2474.7000700296844
2019-01-11 01 A,2063.6439399725305
2019-01-11 02 A,1909.9199708939936
2019-01-11 03 A,1829.6338178126146
2019-01-11 04 A,1842.2191769728565
2019-01-11 05 A,2055.9768096118346
2019-01-11 06 A,2204.6749340900674
2019-01-11 07 A,2510.3122971601024
2019-01-11 08 A,3035.2283471366827
2019-01-11 09 A,3037.4446991128875
2019-01-11 10 A,2878.1909169706278
2019-01-11 11 A,2775.0752167387077
2019-01-11 12 A,2510.666985313752
2019-01-11 13 A,2424.4682184541975
2019-01-11 14 A,2268.0700337534595
2019-01-11 15 A,2150.231783035856
2019-01-11 16 A,2121.507002922093
2019-01-11 17 A,2158.5416766081157
2019-01-11 18 A,2355.776275930732
2019-01-11 19 A,2675.1283654975587
2019-01-11 20 A,2727.515832393884
2019-01-11 21 A,2714.2323818399313
2019-01-11 22 A,2671.161222651181
2019-01-11 23 A,2572.3299526079454
2019-01-11 24 A,2438.478850135917
2019-01-12 01 A,1979.3984984964256
2019-01-12 02 A,1826.1677674730738
2019-01-12 03 A,1755.4119130433598
2019-01-12 04 A,1767.9972722036018
2019-01-12 05 A,1874.5591115738569
2019-01-12 06 A,1995.4772427792302
2019-01-12 07 A,2245.1889633623987
2019-01-12 08 A,2491.987876462727
2019-01-12 09 A,2545.1307063220356
2019-01-12 10 A,2530.0135875470346
2019-01-12 11 A,2491.9831633842673
2019-01-12 12 A,2286.7662039981583
2019-01-12 13 A,2204.713546820819
2019-01-12 14 A,2090.000338290444
2019-01-12 15 A,2007.648973203662
2019-01-12 16 A,1978.9241930898986
2019-01-12 17 A,2015.9588667759222
2019-01-12 18 A,2198.1779241993054
2019-01-12 19 A,2437.223802637521
2019-01-12 20 A,2468.2282608033966
2019-01-12 21 A,2454.944810249444
2019-01-12 22 A,2411.8736510606936
2019-01-12 23 A,2339.344929890882
2019-01-12 24 A,2239.8719237009564
2019-01-13 01 A,1916.8652993938726
2019-01-13 02 A,1775.0949763638475
2019-01-13 03 A,1721.994791720848
2019-01-13 04 A,1734.58015088109
2019-01-13 05 A,1773.4370350646705
2019-01-13 06 A,1894.3551662700438
2019-01-13 07 A,2132.8570419063585
2019-01-13 08 A,2305.2085655251144
2019-01-13 09 A,2413.976236001516
2019-01-13 10 A,2420.488645024241
2019-01-13 11 A,2388.0756969947965
2019-01-13 12 A,2182.8587376086875
2019-01-13 13 A,2125.542701571921
2019-01-13 14 A,2035.4376006803438
2019-01-13 15 A,1971.610589320005
2019-01-13 16 A,1944.8158743816662
2019-01-13 17 A,1981.8505480676895
2019-01-13 18 A,2180.561212563114
2019-01-13 19 A,2425.70424067639
2019-01-13 20 A,2462.5251242663358
2019-01-13 21 A,2451.521356044352
2019-01-13 22 A,2401.9993716172607
2019-01-13 23 A,2319.7663043631264
2019-01-13 24 A,2223.02093227252
2019-01-14 01 A,1938.6358771107887
2019-01-14 02 A,1798.6683142164745
2019-01-14 03 A,1763.4817521159223
2019-01-14 04 A,1768.005470800151
2019-01-14 05 A,1986.0741664197592
2019-01-14 06 A,2141.2495126903077
2019-01-14 07 A,2457.602837589143
2019-01-14 08 A,2982.9472271006694
2019-01-14 09 A,2982.9472271006694
2019-01-14 10 A,2823.6934449584096
2019-01-14 11 A,2729.1344000151885
2019-01-14 12 A,2464.7261685902326
2019-01-14 13 A,2378.5274017306783
2019-01-14 14 A,2221.466413956739
2019-01-14 15 A,2103.6281632391356
2019-01-14 16 A,2074.9033831253723
2019-01-14 17 A,2111.938056811395
2019-01-14 18 A,2330.4034188594783
2019-01-14 19 A,2660.129003110959
2019-01-14 20 A,2721.027061721662
2019-01-14 21 A,2714.3167669223826
2019-01-14 22 A,2685.2271798197417
2019-01-14 23 A,2572.428152182731
2019-01-14 24 A,2404.5728442969144
2019-01-15 01 A,2013.0258548853137
2019-01-15 02 A,1859.3018858067776
2019-01-15 03 A,1786.6464042738287
2019-01-15 04 A,1799.4805014345282
2019-01-15 05 A,2011.6944825576618
2019-01-15 06 A,2160.3926070358943
2019-01-15 07 A,2469.7388346719586
2019-01-15 08 A,2986.09822935984
2019-01-15 09 A,2986.09822935984
2019-01-15 10 A,2826.84444721758
2019-01-15 11 A,2732.285402274359
2019-01-15 12 A,2467.8771708494032
2019-01-15 13 A,2381.678403989849
2019-01-15 14 A,2224.6174162159095
2019-01-15 15 A,2106.779165498306
2019-01-15 16 A,2078.054385384543
2019-01-15 17 A,2115.089059070566
2019-01-15 18 A,2333.554421118649
2019-01-15 19 A,2656.282013036447
2019-01-15 20 A,2717.1800716471503
2019-01-15 21 A,2710.469776847871
2019-01-15 22 A,2681.38018974523
2019-01-15 23 A,2568.5811621082194
2019-01-15 24 A,2407.723846556085
2019-01-16 01 A,2011.2774861044347
2019-01-16 02 A,1857.5535170258986
2019-01-16 03 A,1778.4562539201506
2019-01-16 04 A,1791.29035108085
2019-01-16 05 A,2002.0009911106179
2019-01-16 06 A,2150.699115588851
2019-01-16 07 A,2460.045343224915
2019-01-16 08 A,2968.5151469823154
2019-01-16 09 A,2968.5151469823154
2019-01-16 10 A,2809.2613648400556
2019-01-16 11 A,2722.5919108273156
2019-01-16 12 A,2458.1836794023598
2019-01-16 13 A,2371.9849125428054
2019-01-16 14 A,2214.923924768866
2019-01-16 15 A,2097.0856740512627
2019-01-16 16 A,2068.3608939374994
2019-01-16 17 A,2105.3955676235223
2019-01-16 18 A,2315.0141116024165
2019-01-16 19 A,2637.7417035202147
2019-01-16 20 A,2698.639762130918
2019-01-16 21 A,2691.9294673316385
2019-01-16 22 A,2662.8398802289976
2019-01-16 23 A,2550.040852591987
2019-01-16 24 A,2389.1835370398526
2019-01-17 01 A,2013.065720296221
2019-01-17 02 A,1859.3417512176848
2019-01-17 03 A,1772.143911658035
2019-01-17 04 A,1784.9780088187345
2019-01-17 05 A,1996.562234642086
2019-01-17 06 A,2145.2603591203188
2019-01-17 07 A,2454.606586756383
2019-01-17 08 A,2954.311095451916
2019-01-17 09 A,2954.311095451916
2019-01-17 10 A,2795.0573133096564
2019-01-17 11 A,2717.5015120900352
2019-01-17 12 A,2453.0932806650794
2019-01-17 13 A,2363.6306179612116
2019-01-17 14 A,2216.7121589606522
2019-01-17 15 A,2098.873908243049
2019-01-17 16 A,2070.1491281292856
2019-01-17 17 A,2107.1838018153085
2019-01-17 18 A,2316.8023457942027
2019-01-17 19 A,2639.529937712001
2019-01-17 20 A,2700.427996322704
2019-01-17 21 A,2693.7177015234247
2019-01-17 22 A,2664.6281144207837
2019-01-17 23 A,2551.829086783773
2019-01-17 24 A,2390.9717712316387
2019-01-18 01 A,2012.3304272171454
2019-01-18 02 A,1858.6064581386092
2019-01-18 03 A,1770.2197286033283
2019-01-18 04 A,1782.8050877635703
2019-01-18 05 A,1990.0890527648023
2019-01-18 06 A,2138.787177243036
2019-01-18 07 A,2444.424540313071
2019-01-18 08 A,2944.129049008604
2019-01-18 09 A,2946.3454009848087
2019-01-18 10 A,2794.438872273878
2019-01-18 11 A,2716.883071054257
2019-01-18 12 A,2452.474839629301
2019-01-18 13 A,2363.0121769254333
2019-01-18 14 A,2216.7565209980753
2019-01-18 15 A,2098.918270280472
2019-01-18 16 A,2070.1934901667087
2019-01-18 17 A,2107.2281638527315
2019-01-18 18 A,2304.462763175348
2019-01-18 19 A,2624.725886496148
2019-01-18 20 A,2677.1133533924735
2019-01-18 21 A,2663.829902838521
2019-01-18 22 A,2620.7587436497706
2019-01-18 23 A,2521.927473606535
2019-01-18 24 A,2387.165337380533
2019-01-19 01 A,1976.7469737831932
2019-01-19 02 A,1823.5162427598414
2019-01-19 03 A,1744.6598118762256
2019-01-19 04 A,1757.2451710364676
2019-01-19 05 A,1870.633592515182
2019-01-19 06 A,1991.5517237205554
2019-01-19 07 A,2241.2634443037246
2019-01-19 08 A,2471.4074714117046
2019-01-19 09 A,2524.5503012710133
2019-01-19 10 A,2509.4331824960123
2019-01-19 11 A,2482.4530057419693
2019-01-19 12 A,2277.2360463558603
2019-01-19 13 A,2191.9194933342073
2019-01-19 14 A,2087.3488135772122
2019-01-19 15 A,2004.9974484904296
2019-01-19 16 A,1976.2726683766662
2019-01-19 17 A,2013.3073420626897
2019-01-19 18 A,2195.526399486074
2019-01-19 19 A,2435.4833116782634
2019-01-19 20 A,2466.4877698441387
2019-01-19 21 A,2453.204319290186
2019-01-19 22 A,2410.133160101436
2019-01-19 23 A,2337.6044389316244
2019-01-19 24 A,2237.220398987725
2019-01-20 01 A,1929.5960026422233
2019-01-20 02 A,1787.8256796121982
2019-01-20 03 A,1726.624918515297
2019-01-20 04 A,1739.210277675539
2019-01-20 05 A,1786.2709776790914
2019-01-20 06 A,1907.1891088844648
2019-01-20 07 A,2145.69098452078
2019-01-20 08 A,2301.387622147188
2019-01-20 09 A,2410.1552926235895
2019-01-20 10 A,2416.6677016463145
2019-01-20 11 A,2395.3050010255943
2019-01-20 12 A,2190.0880416394853
2019-01-20 13 A,2129.508109758405
2019-01-20 14 A,2048.168303928695
2019-01-20 15 A,1984.3412925683556
2019-01-20 16 A,1957.5465776300168
2019-01-20 17 A,1994.5812513160402
2019-01-20 18 A,2193.2919158114655
2019-01-20 19 A,2439.345977678715
2019-01-20 20 A,2476.166861268661
2019-01-20 21 A,2465.163093046677
2019-01-20 22 A,2415.641108619586
2019-01-20 23 A,2333.4080413654515
2019-01-20 24 A,2235.7516355208713
2019-01-21 01 A,1927.4447929481703
2019-01-21 02 A,1787.4772300538561
2019-01-21 03 A,1744.1900914994021
2019-01-21 04 A,1749.4953133078914
2019-01-21 05 A,1961.0903412897544
2019-01-21 06 A,2116.265687560303
2019-01-21 07 A,2432.619012459138
2019-01-21 08 A,2941.3085159783163
2019-01-21 09 A,2941.3085159783163
2019-01-21 10 A,2789.4019872673857
2019-01-21 11 A,2711.8461860477646
2019-01-21 12 A,2447.437954622809
2019-01-21 13 A,2357.975291918941
2019-01-21 14 A,2211.0568329183816
2019-01-21 15 A,2093.218582200778
2019-01-21 16 A,2064.493802087015
2019-01-21 17 A,2101.528475773038
2019-01-21 18 A,2319.993837821121
2019-01-21 19 A,2642.721429738919
2019-01-21 20 A,2703.6194883496223
2019-01-21 21 A,2696.909193550343
2019-01-21 22 A,2667.819606447702
2019-01-21 23 A,2555.0205788106914
2019-01-21 24 A,2394.163263258557
2019-01-22 01 A,1998.6837684635245
2019-01-22 02 A,1844.9597993849884
2019-01-22 03 A,1764.2037413981377
2019-01-22 04 A,1777.8193416830977
2019-01-22 05 A,1983.5596551684862
2019-01-22 06 A,2132.257779646719
2019-01-22 07 A,2441.604007282783
2019-01-22 08 A,2941.3085159783163
2019-01-22 09 A,2941.3085159783163
2019-01-22 10 A,2789.4019872673857
2019-01-22 11 A,2711.8461860477646
2019-01-22 12 A,2447.437954622809
2019-01-22 13 A,2357.975291918941
2019-01-22 14 A,2211.0568329183816
2019-01-22 15 A,2093.218582200778
2019-01-22 16 A,2064.493802087015
2019-01-22 17 A,2101.528475773038
2019-01-22 18 A,2319.993837821121
2019-01-22 19 A,2642.721429738919
2019-01-22 20 A,2703.6194883496223
2019-01-22 21 A,2696.909193550343
2019-01-22 22 A,2667.819606447702
2019-01-22 23 A,2555.0205788106914
2019-01-22 24 A,2394.163263258557
2019-01-23 01 A,2013.847102915624
2019-01-23 02 A,1860.1231338370878
2019-01-23 03 A,1772.925294277438
2019-01-23 04 A,1786.540894562398
2019-01-23 05 A,1990.7778669544207
2019-01-23 06 A,2139.4759914326537
2019-01-23 07 A,2448.822219068718
2019-01-23 08 A,2948.526727764251
2019-01-23 09 A,2948.526727764251
2019-01-23 10 A,2796.6201990533204
2019-01-23 11 A,2719.0643978336993
2019-01-23 12 A,2454.6561664087435
2019-01-23 13 A,2365.1935037048756
2019-01-23 14 A,2218.2750447043163
2019-01-23 15 A,2100.436793986713
2019-01-23 16 A,2071.7120138729497
2019-01-23 17 A,2108.7466875589726
2019-01-23 18 A,2318.3652315378667
2019-01-23 19 A,2641.092823455665
2019-01-23 20 A,2701.990882066368
2019-01-23 21 A,2695.280587267089
2019-01-23 22 A,2666.191000164448
2019-01-23 23 A,2553.3919725274372
2019-01-23 24 A,2392.534656975303
2019-01-24 01 A,1981.7597591264528
2019-01-24 02 A,1828.0357900479166
2019-01-24 03 A,1740.8379504882669
2019-01-24 04 A,1757.1214349082695
2019-01-24 05 A,1961.3584073002921
2019-01-24 06 A,2110.056531778526
2019-01-24 07 A,2419.40275941459
2019-01-24 08 A,2919.107268110123
2019-01-24 09 A,2919.107268110123
2019-01-24 10 A,2767.2007393991926
2019-01-24 11 A,2689.6449381795715
2019-01-24 12 A,2425.2367067546156
2019-01-24 13 A,2335.7740440507478
2019-01-24 14 A,2188.8555850501884
2019-01-24 15 A,2071.017334332585
2019-01-24 16 A,2042.2925542188223
2019-01-24 17 A,2079.3272279048447
2019-01-24 18 A,2276.3951383983363
2019-01-24 19 A,2599.1227303161345
2019-01-24 20 A,2660.0207889268377
2019-01-24 21 A,2653.3104941275583
2019-01-24 22 A,2624.2209070249173
2019-01-24 23 A,2523.9725128733094
2019-01-24 24 A,2363.115197321175
2019-01-25 01 A,2048.165856586258
2019-01-25 02 A,1894.4418875077213
2019-01-25 03 A,1806.0551579724404
2019-01-25 04 A,1818.6405171326824
2019-01-25 05 A,2025.9244821339144
2019-01-25 06 A,2174.6226066121476
2019-01-25 07 A,2480.2599696821826
2019-01-25 08 A,2979.9644783777157
2019-01-25 09 A,2982.1808303539206
2019-01-25 10 A,2830.27430164299
2019-01-25 11 A,2752.718500423369
2019-01-25 12 A,2488.310268998413
2019-01-25 13 A,2398.847606294545
2019-01-25 14 A,2252.591950367187
2019-01-25 15 A,2134.7536996495837
2019-01-25 16 A,2106.0289195358205
2019-01-25 17 A,2143.0635932218433
2019-01-25 18 A,2336.280707826806
2019-01-25 19 A,2656.5438311476064
2019-01-25 20 A,2708.9312980439317
2019-01-25 21 A,2695.647847489979
2019-01-25 22 A,2652.576688301229
2019-01-25 23 A,2557.7629029756467
2019-01-25 24 A,2423.0007667496448
2019-01-26 01 A,2073.435130906453
2019-01-26 02 A,1931.7422871096624
2019-01-26 03 A,1852.8858562260466
2019-01-26 04 A,1865.4712153862886
2019-01-26 05 A,1972.2357016505937
2019-01-26 06 A,2093.1538328559677
2019-01-26 07 A,2342.865553439136
2019-01-26 08 A,2574.2149927128676
2019-01-26 09 A,2627.3578225721762
2019-01-26 10 A,2609.61562580681
2019-01-26 11 A,2582.635449052767
2019-01-26 12 A,2383.2097273332897
2019-01-26 13 A,2297.893174311637
2019-01-26 14 A,2193.3224945546417
2019-01-26 15 A,2110.971129467859
2019-01-26 16 A,2082.2463493540968
2019-01-26 17 A,2119.2810230401187
2019-01-26 18 A,2278.003931331617
2019-01-26 19 A,2517.9608435238065
2019-01-26 20 A,2540.5845047650937
2019-01-26 21 A,2527.301054211141
2019-01-26 22 A,2484.229895022391
2019-01-26 23 A,2425.0930055932076
2019-01-26 24 A,2340.3521630271853
2019-01-27 01 A,1986.0905147575359
2019-01-27 02 A,1863.2101377815957
2019-01-27 03 A,1802.0093766846944
2019-01-27 04 A,1814.5947358449364
2019-01-27 05 A,1855.0315006340795
2019-01-27 06 A,1975.9496318394529
2019-01-27 07 A,2214.451507475768
2019-01-27 08 A,2363.5525659946707
2019-01-27 09 A,2472.3202364710723
2019-01-27 10 A,2476.207567503432
2019-01-27 11 A,2462.645858155968
2019-01-27 12 A,2263.220136436491
2019-01-27 13 A,2202.640204555411
2019-01-27 14 A,2121.3003987257016
2019-01-27 15 A,2057.473387365362
2019-01-27 16 A,2030.678672427023
2019-01-27 17 A,2067.713346113047
2019-01-27 18 A,2246.9453461942385
2019-01-27 19 A,2492.999408061488
2019-01-27 20 A,2521.4394947268456
2019-01-27 21 A,2510.435726504862
2019-01-27 22 A,2460.9137420777706
2019-01-27 23 A,2388.055021846611
2019-01-27 24 A,2306.041813379908
2019-01-28 01 A,1917.3641937191344
2019-01-28 02 A,1796.2865768789052
2019-01-28 03 A,1752.9994383244511
2019-01-28 04 A,1757.503172572218
2019-01-28 05 A,1934.1831015591363
2019-01-28 06 A,2089.358447829685
2019-01-28 07 A,2405.71177272852
2019-01-28 08 A,2894.9146688222204
2019-01-28 09 A,2894.9146688222204
2019-01-28 10 A,2755.0480242360586
2019-01-28 11 A,2685.293214289694
2019-01-28 12 A,2426.67622053137
2019-01-28 13 A,2337.213557827502
2019-01-28 14 A,2220.18956862079
2019-01-28 15 A,2102.3513179031866
2019-01-28 16 A,2073.6265377894233
2019-01-28 17 A,2110.661211475446
2019-01-28 18 A,2284.177485835077
2019-01-28 19 A,2547.4260653482925
2019-01-28 20 A,2586.121461781986
2019-01-28 21 A,2579.4111669827066
2019-01-28 22 A,2550.3215798800657
2019-01-28 23 A,2470.457722188049
2019-01-28 24 A,2368.809305794418
2019-01-29 01 A,1924.329564434046
2019-01-29 02 A,1789.4955414095948
2019-01-29 03 A,1708.7394834227441
2019-01-29 04 A,1721.5535961469818
2019-01-29 05 A,1892.3788106374254
2019-01-29 06 A,2041.0769351156587
2019-01-29 07 A,2350.4231627517224
2019-01-29 08 A,2819.6548336245664
2019-01-29 09 A,2819.6548336245664
2019-01-29 10 A,2679.7881890384047
2019-01-29 11 A,2610.03337909204
2019-01-29 12 A,2351.416385333716
2019-01-29 13 A,2278.601946385841
2019-01-29 14 A,2161.577957179129
2019-01-29 15 A,2043.7397064615259
2019-01-29 16 A,2015.0149263477624
2019-01-29 17 A,2052.049600033786
2019-01-29 18 A,2210.8170871657035
2019-01-29 19 A,2474.065666678919
2019-01-29 20 A,2512.7610631126126
2019-01-29 21 A,2506.0507683133333
2019-01-29 22 A,2476.9611812106923
2019-01-29 23 A,2397.0973235186757
2019-01-29 24 A,2295.4489071250446
2019-01-30 01 A,1784.992424024993
2019-01-30 02 A,1650.1584010005417
2019-01-30 03 A,1562.960561440892
2019-01-30 04 A,1575.7746741651297
2019-01-30 05 A,1745.0965475622074
2019-01-30 06 A,1893.7946720404407
2019-01-30 07 A,2203.140899676505
2019-01-30 08 A,2643.7404298492174
2019-01-30 09 A,2643.7404298492174
2019-01-30 10 A,2503.8737852630557
2019-01-30 11 A,2462.7511160168224
2019-01-30 12 A,2204.1341222584983
2019-01-30 13 A,2131.3196833106235
2019-01-30 14 A,2014.2956941039122
2019-01-30 15 A,1896.4574433863065
2019-01-30 16 A,1867.732663272543
