조건별분석,,,,,,,,
[검색조건],,,,,,,,
,분류: 지상,,,,,,,
"		165",목포,2011.2.2,2.3,7.3,15:00,-1.3,8:06,8.6
"		165",목포,2011.2.3,2.5,8.6,13:24,-4,7:31,12.6
"		165",목포,2011.2.4,3.2,10.2,15:14,-0.7,7:20,10.9
"		165",목포,2011.2.5,1.3,7.6,15:14,-2.4,2:49,10
"		165",목포,2011.2.6,3.3,9.9,13:20,-1.7,3:06,11.6
"		165",목포,2011.2.7,2.8,8.6,16:23,-0.2,7:12,8.8
"		165",목포,2011.2.8,3.1,4.5,14:13,1.3,23:52,3.2
"		165",목포,2011.2.9,1.1,4.2,13:19,-1.3,23:54,5.5
"		165",목포,2011.2.10,-0.8,1.2,16:32,-2.1,0:48,3.3
"		165",목포,2011.2.11,-0.6,2.3,12:17,-3.2,6:52,5.5
"		165",목포,2011.2.12,-3.1,-1,0:08,-5,8:33,4
"		165",목포,2011.2.13,-2.7,1.1,13:42,-6.9,4:47,8
"		165",목포,2011.2.14,-1.8,1.3,14:06,-4.9,6:25,6.2
"		165",목포,2011.2.15,-1.3,4.1,14:59,-5.3,7:23,9.4
"		165",목포,2011.2.16,0,4.2,14:08,-3.6,6:22,7.8
"		165",목포,2011.2.17,0.9,3.1,12:07,-0.3,4:52,3.4
"		165",목포,2011.2.18,1.3,6.7,14:44,-2.2,7:32,8.9
"		165",목포,2011.2.19,1.9,8.3,14:28,-1.6,1:52,9.9
"		165",목포,2011.2.20,3.3,10,14:49,-0.9,1:18,10.9
"		165",목포,2011.2.21,4.6,10.3,12:12,0.4,7:50,9.9
"		165",목포,2011.2.22,4.7,11.3,12:03,-0.2,7:31,11.5
"		165",목포,2011.2.23,7.2,13.3,15:02,1.3,0:53,12
"		165",목포,2011.2.24,7,15.7,14:09,2.4,7:51,13.3
"		165",목포,2011.2.25,3.9,8.7,13:14,-0.5,23:54,9.2
"		165",목포,2011.2.26,7.6,14.7,15:21,-1.4,3:04,16.1
"		165",목포,2011.2.27,10.4,15.3,14:37,6.9,23:58,8.4
"		165",목포,2011.2.28,4.4,7,0:00,3,23:34,4
"		165",목포,2011.3.1,1.5,3,0:00,0.4,21:45,2.6
"		165",목포,2011.3.2,1.1,4.4,13:56,-0.9,23:24,5.3
"		165",목포,2011.3.3,0.5,4.1,13:53,-1.3,5:46,5.4
"		165",목포,2011.3.4,1.4,5.8,15:04,-1.6,23:53,7.4
"		165",목포,2011.3.5,2.5,7.5,15:16,-2.4,4:56,9.9
"		165",목포,2011.3.6,4.6,9.2,14:17,1.2,0:04,8
"		165",목포,2011.3.7,3.3,5.7,15:25,1.3,23:57,4.4
"		165",목포,2011.3.8,3.8,7.6,14:25,0.2,6:55,7.4
"		165",목포,2011.3.9,3.1,7.2,13:12,0.9,0:39,6.3
"		165",목포,2011.3.10,3.7,7.5,15:23,-0.5,7:03,8
"		165",목포,2011.3.11,6.7,11.2,14:14,1.8,7:25,9.4
"		165",목포,2011.3.12,9.3,14.8,14:32,4.1,7:10,10.7
"		165",목포,2011.3.13,10.2,16.2,15:52,4.8,5:51,11.4
"		165",목포,2011.3.14,7.3,13.8,14:25,3.1,23:48,10.7
"		165",목포,2011.3.15,3.2,6.4,13:58,1,23:44,5.4
"		165",목포,2011.3.16,1.8,5.3,16:30,-0.3,6:51,5.6
"		165",목포,2011.3.17,3,7.5,14:47,0.3,7:01,7.2
"		165",목포,2011.3.18,6.6,12.5,14:21,-1,6:53,13.5
"		165",목포,2011.3.19,10,13.5,15:00,7.7,6:53,5.8
"		165",목포,2011.3.20,6.9,10.4,14:51,4.6,11:43,5.8
"		165",목포,2011.3.21,6.6,11.8,12:31,4.5,23:21,7.3
"		165",목포,2011.3.22,3.2,5.7,12:45,1,23:32,4.7
"		165",목포,2011.3.23,3.4,7.6,15:02,0.5,5:50,7.1
"		165",목포,2011.3.24,5.6,9.5,13:10,1.1,6:53,8.4
"		165",목포,2011.3.25,3.7,6.6,15:35,1.4,23:28,5.2
"		165",목포,2011.3.26,3.6,8.6,15:20,-1,5:20,9.6
"		165",목포,2011.3.27,6.1,11,14:33,-0.3,6:31,11.3
"		165",목포,2011.3.28,7,11.7,14:47,2.9,24:00:00,8.8
"		165",목포,2011.3.29,4.6,10.1,14:12,0.4,5:59,9.7
"		165",목포,2011.3.30,6.6,11.2,14:32,1.9,4:49,9.3
"		165",목포,2011.3.31,7.9,15.1,14:12,3.6,7:29,11.5
"		165",목포,2011.4.1,9.7,16.7,12:57,3.1,6:00,13.6
"		165",목포,2011.4.2,8.1,12.4,12:45,5.9,23:39,6.5
"		165",목포,2011.4.3,6.4,9,13:12,4.9,5:44,4.1
"		165",목포,2011.4.4,7.6,13.7,14:03,3.4,5:12,10.3
"		165",목포,2011.4.5,8.5,15.6,15:31,3.2,3:27,12.4
"		165",목포,2011.4.6,11.3,17.2,14:24,3.7,6:35,13.5
"		165",목포,2011.4.7,11.1,13.7,14:47,8.4,23:34,5.3
"		165",목포,2011.4.8,7.9,13.3,15:09,4,24:00:00,9.3
"		165",목포,2011.4.9,7.9,14.4,15:42,2.9,6:39,11.5
"		165",목포,2011.4.10,10.6,18.3,13:56,4.8,5:54,13.5
"		165",목포,2011.4.11,8.6,14.1,14:07,5,23:43,9.1
"		165",목포,2011.4.12,8.8,14.6,15:31,3,6:31,11.6
"		165",목포,2011.4.13,10.3,15.8,14:16,5.1,6:09,10.7
"		165",목포,2011.4.14,12.1,18.3,14:57,4,5:52,14.3
"		165",목포,2011.4.15,14.1,20.6,15:50,9.2,22:29,11.4
"		165",목포,2011.4.16,9.9,15.4,13:50,6.1,6:13,9.3
"		165",목포,2011.4.17,11,16.3,11:04,5.8,1:03,10.5
"		165",목포,2011.4.18,7.6,10.4,0:24,5,18:41,5.4
"		165",목포,2011.4.19,8.9,13.6,13:40,5.6,1:01,8
"		165",목포,2011.4.20,10.8,16.3,14:15,5.6,3:55,10.7
"		165",목포,2011.4.21,13.8,18.7,12:28,7.1,4:54,11.6
"		165",목포,2011.4.22,10.9,15.3,0:00,7.5,23:58,7.8
"		165",목포,2011.4.23,9.8,13.4,13:19,6.8,4:49,6.6
"		165",목포,2011.4.24,10.3,14,13:18,7.5,2:37,6.5
"		165",목포,2011.4.25,12.8,17.9,14:39,8.3,6:01,9.6
"		165",목포,2011.4.26,14.1,16.5,13:51,11.3,1:13,5.2
"		165",목포,2011.4.27,10,13,11:03,8.1,21:35,4.9
"		165",목포,2011.4.28,10.3,14.4,14:54,7.5,6:07,6.9
"		165",목포,2011.4.29,14.2,20.2,14:35,6.7,5:49,13.5
"		165",목포,2011.4.30,19.1,24.1,15:12,16.2,23:57,7.9
"		165",목포,2011.5.1,13,16.9,11:53,10,22:45,6.9
"		165",목포,2011.5.2,13.7,18.7,13:00,10.2,0:51,8.5
"		165",목포,2011.5.3,13.4,18.1,13:14,9.8,23:39,8.3
"		165",목포,2011.5.4,13.7,19.1,14:12,7.8,6:07,11.3
"		165",목포,2011.5.5,15.9,21.8,14:15,10.3,6:25,11.5
"		165",목포,2011.5.6,16.2,18.6,11:47,12.6,3:09,6
"		165",목포,2011.5.7,17.2,22.2,14:29,14.8,23:54,7.4
"		165",목포,2011.5.8,17.2,22.2,14:24,13.9,5:12,8.3
"		165",목포,2011.5.9,19.7,22.3,16:15,15.7,0:00,6.6
"		165",목포,2011.5.10,18.8,21.1,1:55,17.7,21:28,3.4
"		165",목포,2011.5.11,17,19.1,5:46,15,23:22,4.1
"		165",목포,2011.5.12,14.5,18.3,16:40,12.2,23:57,6.1
"		165",목포,2011.5.13,15.4,19,14:35,12,0:41,7
"		165",목포,2011.5.14,16.2,20.5,15:28,12.1,4:29,8.4
"		165",목포,2011.5.15,17.2,23.9,12:18,11.5,5:07,12.4
"		165",목포,2011.5.16,15.9,19.7,14:26,13.1,23:45,6.6
"		165",목포,2011.5.17,15.5,20.7,14:39,11.7,4:19,9
"		165",목포,2011.5.18,18.6,22.7,14:32,13,0:55,9.7
"		165",목포,2011.5.19,20.1,23.9,14:42,16.3,3:48,7.6
"		165",목포,2011.5.20,21.5,25.8,14:03,18.2,5:10,7.6
"		165",목포,2011.5.21,18.2,23.2,11:54,15.3,23:56,7.9
"		165",목포,2011.5.22,17.4,22.8,12:26,14.4,0:51,8.4
"		165",목포,2011.5.23,14.4,16.9,17:51,12.5,23:29,4.4
"		165",목포,2011.5.24,18,26.3,14:18,11.2,5:22,15.1
"		165",목포,2011.5.25,19.2,24,11:53,14,3:39,10
"		165",목포,2011.5.26,16.3,18.7,0:00,14.9,9:59,3.8
"		165",목포,2011.5.27,17.3,20.8,12:23,15.3,4:18,5.5
"		165",목포,2011.5.28,18.7,24.2,14:21,15.1,5:50,9.1
"		165",목포,2011.5.29,19.9,26.3,15:57,14.6,4:49,11.7
"		165",목포,2011.5.30,20.3,25.8,15:54,15.3,5:05,10.5
"		165",목포,2011.5.31,17.2,19.1,14:09,16.2,23:14,2.9
"		165",목포,2011.6.1,18.5,23.4,16:29,15.6,5:21,7.8
"		165",목포,2011.6.2,18.1,22.6,14:50,15.6,22:49,7
"		165",목포,2011.6.3,19.6,24.6,13:25,15.5,5:51,9.1
"		165",목포,2011.6.4,19.8,24,14:52,16.8,4:46,7.2
"		165",목포,2011.6.5,19.6,26.5,14:31,14.8,23:49,11.7
"		165",목포,2011.6.6,19.8,25.5,14:59,14.3,1:33,11.2
"		165",목포,2011.6.7,19.7,24.4,15:21,16.5,2:56,7.9
"		165",목포,2011.6.8,19.8,25.5,14:54,15.8,3:11,9.7
"		165",목포,2011.6.9,19.7,21,15:44,17.8,0:00,3.2
"		165",목포,2011.6.10,20.3,26.4,15:44,17,23:46,9.4
"		165",목포,2011.6.11,20,24.6,13:59,16.6,5:01,8
"		165",목포,2011.6.12,20.3,24.8,15:33,17.6,23:41,7.2
"		165",목포,2011.6.13,18.4,21.2,12:58,16.3,22:00,4.9
"		165",목포,2011.6.14,19,23.4,14:30,15.9,2:37,7.5
"		165",목포,2011.6.15,20.5,24,14:46,17.3,4:32,6.7
"		165",목포,2011.6.16,22,27.4,14:37,19.2,5:44,8.2
"		165",목포,2011.6.17,20.8,24.2,11:02,17.9,3:38,6.3
"		165",목포,2011.6.18,20.6,24.7,14:24,18.1,5:14,6.6
"		165",목포,2011.6.19,20.8,25.4,14:24,17.5,5:40,7.9
"		165",목포,2011.6.20,20.9,24.9,13:34,17.7,3:48,7.2
"		165",목포,2011.6.21,22.6,27.8,15:03,18.6,4:20,9.2
"		165",목포,2011.6.22,22.7,24.7,14:48,20.9,3:22,3.8
"		165",목포,2011.6.23,24.2,26.4,13:11,21.7,5:45,4.7
"		165",목포,2011.6.24,23.8,25.6,17:05,22.2,2:00,3.4
"		165",목포,2011.6.25,23.6,26.6,11:02,22.1,18:45,4.5
"		165",목포,2011.6.26,21.7,24.3,3:34,19.6,20:17,4.7
"		165",목포,2011.6.27,21.9,25.9,15:33,19.2,23:40,6.7
"		165",목포,2011.6.28,22.3,27.1,12:40,18.5,5:17,8.6
"		165",목포,2011.6.29,24.9,28.2,14:53,22.3,2:33,5.9
"		165",목포,2011.6.30,22.8,25.2,9:43,20.9,23:58,4.3
"		165",목포,2011.7.1,22.2,24,13:35,20.2,3:42,3.8
"		165",목포,2011.7.2,24,27.7,14:41,21.1,4:12,6.6
"		165",목포,2011.7.3,23.4,27.2,14:23,20.8,24:00:00,6.4
"		165",목포,2011.7.4,20.5,23.5,16:32,18.8,23:32,4.7
"		165",목포,2011.7.5,22.2,26.9,14:07,18.4,6:04,8.5
"		165",목포,2011.7.6,20.8,22,17:34,19.8,7:43,2.2
"		165",목포,2011.7.7,23.6,26.3,13:24,21.1,0:04,5.2
"		165",목포,2011.7.8,25,27.9,15:56,23.5,7:47,4.4
"		165",목포,2011.7.9,23.2,25.6,10:07,21.1,16:20,4.5
"		165",목포,2011.7.10,24.7,27.2,13:25,22.2,1:23,5
"		165",목포,2011.7.11,25.1,29,13:32,23,19:22,6
"		165",목포,2011.7.12,25.2,27.6,13:15,23.9,0:03,3.7
"		165",목포,2011.7.13,25.4,27.7,16:40,24.1,1:39,3.6
"		165",목포,2011.7.14,25.8,28.4,12:53,24,5:47,4.4
"		165",목포,2011.7.15,26.4,29.5,14:39,24.1,0:26,5.4
"		165",목포,2011.7.16,26.8,30.3,16:25,23.8,4:47,6.5
"		165",목포,2011.7.17,26,30.6,12:26,23.4,5:38,7.2
"		165",목포,2011.7.18,27.7,33.3,14:02,22.7,5:45,10.6
"		165",목포,2011.7.19,28.1,33,12:31,23.4,4:15,9.6
"		165",목포,2011.7.20,27.8,31.4,12:57,25.4,23:57,6
"		165",목포,2011.7.21,25.2,28.9,14:39,22.4,23:49,6.5
"		165",목포,2011.7.22,24.2,28.2,14:27,21.4,5:59,6.8
"		165",목포,2011.7.23,24.7,28.6,14:04,22.1,4:26,6.5
"		165",목포,2011.7.24,25.5,29.5,15:00,22.4,5:55,7.1
"		165",목포,2011.7.25,25.4,29.4,13:22,22.2,6:13,7.2
"		165",목포,2011.7.26,27.4,30.2,11:36,24.8,0:14,5.4
"		165",목포,2011.7.27,27.8,30,10:47,25.6,1:55,4.4
"		165",목포,2011.7.28,27.8,31.2,13:17,25.5,6:10,5.7
"		165",목포,2011.7.29,27.3,29.9,14:35,25.1,4:53,4.8
"		165",목포,2011.7.30,27.4,30.5,13:26,25,5:59,5.5
"		165",목포,2011.7.31,27.2,29.8,14:22,25.1,4:21,4.7
"		165",목포,2011.8.1,24.5,26.7,16:42,23,23:56,3.7
"		165",목포,2011.8.2,25.5,30.4,13:22,21.8,5:48,8.6
"		165",목포,2011.8.3,27.5,30.8,12:58,24.2,0:46,6.6
"		165",목포,2011.8.4,27.7,32.8,15:41,24.6,6:31,8.2
"		165",목포,2011.8.5,28.8,33.2,13:51,24.3,4:44,8.9
"		165",목포,2011.8.6,28.3,31.9,13:55,25.8,5:55,6.1
"		165",목포,2011.8.7,25.7,28.3,6:55,23.2,18:22,5.1
"		165",목포,2011.8.8,25.5,29.3,15:40,23.3,4:50,6
"		165",목포,2011.8.9,25,27.1,15:05,23.7,7:06,3.4
"		165",목포,2011.8.10,25.1,27.2,17:56,24.1,8:13,3.1
"		165",목포,2011.8.11,25.8,29,14:55,23.9,6:58,5.1
"		165",목포,2011.8.12,25.5,27.2,12:16,23.8,6:00,3.4
"		165",목포,2011.8.13,24.2,25.4,0:45,22.3,8:24,3.1
"		165",목포,2011.8.14,24.7,28.3,14:55,23,23:27,5.3
"		165",목포,2011.8.15,25.2,28.8,11:40,22.7,3:49,6.1
"		165",목포,2011.8.16,24.8,27.8,14:34,23.1,2:58,4.7
"		165",목포,2011.8.17,24.7,29,12:31,22.8,23:58,6.2
"		165",목포,2011.8.18,22.3,23.9,12:20,20.8,8:36,3.1
"		165",목포,2011.8.19,22.3,24.6,14:21,21,23:41,3.6
"		165",목포,2011.8.20,19.3,21.3,0:00,17.8,6:33,3.5
"		165",목포,2011.8.21,21.8,25.8,15:48,18.7,6:23,7.1
"		165",목포,2011.8.22,21.2,22.6,12:29,20,5:56,2.6
"		165",목포,2011.8.23,20.8,22,18:03,19.9,2:32,2.1
"		165",목포,2011.8.24,22,24.8,12:49,19.9,0:42,4.9
"		165",목포,2011.8.25,23.4,27.1,12:53,20.6,4:22,6.5
"		165",목포,2011.8.26,24.1,27.9,11:38,21.3,4:47,6.6
"		165",목포,2011.8.27,25.8,29.3,12:06,22.5,3:14,6.8
"		165",목포,2011.8.28,25.6,29.4,14:03,22.1,6:17,7.3
"		165",목포,2011.8.29,25.5,29.4,11:27,21.8,5:42,7.6
"		165",목포,2011.8.30,24.9,28.5,14:09,22.6,5:55,5.9
"		165",목포,2011.8.31,24.4,28,13:27,22.5,5:21,5.5
"		165",목포,2011.9.1,24.8,29.5,12:51,21.6,6:45,7.9
"		165",목포,2011.9.2,24.1,28.1,14:26,20.9,6:13,7.2
"		165",목포,2011.9.3,24.9,28.1,13:22,21.9,0:56,6.2
"		165",목포,2011.9.4,23.7,28.6,13:37,19.8,6:36,8.8
"		165",목포,2011.9.5,22.8,26.5,14:57,20.2,23:45,6.3
"		165",목포,2011.9.6,21.9,26.4,14:53,18.7,23:33,7.7
"		165",목포,2011.9.7,21.7,26.4,13:37,17.1,5:56,9.3
"		165",목포,2011.9.8,22,25.2,13:47,18.9,4:03,6.3
"		165",목포,2011.9.9,20.9,25.1,13:25,18.4,19:43,6.7
"		165",목포,2011.9.10,20.3,22.8,11:57,18.1,4:41,4.7
"		165",목포,2011.9.11,22.4,25.7,14:53,19.6,5:18,6.1
"		165",목포,2011.9.12,23.1,26.9,14:09,21.4,2:40,5.5
"		165",목포,2011.9.13,24.6,29.2,12:13,21.4,0:19,7.8
"		165",목포,2011.9.14,25.1,30.3,13:55,21.2,5:27,9.1
"		165",목포,2011.9.15,25.7,31.1,13:04,21,7:00,10.1
"		165",목포,2011.9.16,25.3,31.9,14:47,21.4,6:35,10.5
"		165",목포,2011.9.17,24.2,29.7,13:10,20.7,6:27,9
"		165",목포,2011.9.18,21.1,23,13:04,20.2,23:47,2.8
"		165",목포,2011.9.19,19.9,22.7,14:43,18.1,23:53,4.6
"		165",목포,2011.9.20,18.8,23.8,14:42,14.8,6:09,9
"		165",목포,2011.9.21,18,22.4,12:09,13.2,6:34,9.2
"		165",목포,2011.9.22,18.8,23.7,14:33,15.7,6:23,8
"		165",목포,2011.9.23,19.3,25.4,14:24,14.6,6:28,10.8
"		165",목포,2011.9.24,19.7,25.5,12:45,13.6,6:29,11.9
"		165",목포,2011.9.25,20.3,26,13:01,15.6,6:46,10.4
"		165",목포,2011.9.26,20.6,27.4,14:37,15.9,4:58,11.5
"		165",목포,2011.9.27,20.1,26,12:43,15,5:15,11
"		165",목포,2011.9.28,20.5,24.5,13:11,16.9,6:59,7.6
"		165",목포,2011.9.29,20.1,22.8,15:00,17.4,21:35,5.4
"		165",목포,2011.9.30,17.3,21.7,11:22,13.6,23:43,8.1
"		165",목포,2011.10.1,14.8,19.2,12:04,11.8,6:30,7.4
"		165",목포,2011.10.2,14.9,18.9,14:27,12.2,2:45,6.7
"		165",목포,2011.10.3,14.3,19.5,14:29,10.4,5:59,9.1
"		165",목포,2011.10.4,15.7,22.3,16:13,9.6,5:05,12.7
"		165",목포,2011.10.5,16.2,21.6,13:44,13.2,4:00,8.4
"		165",목포,2011.10.6,16.5,22,13:56,13.6,6:37,8.4
"		165",목포,2011.10.7,15.3,21,14:27,10.9,5:31,10.1
"		165",목포,2011.10.8,15.7,21.8,14:07,11,6:54,10.8
"		165",목포,2011.10.9,17.3,23.7,13:06,12,6:28,11.7
"		165",목포,2011.10.10,17.7,23.7,14:33,13.8,6:05,9.9
"		165",목포,2011.10.11,16.8,22.6,13:56,12.6,23:15,10
"		165",목포,2011.10.12,15.8,20.5,12:47,10.8,6:36,9.7
"		165",목포,2011.10.13,18.4,23.5,14:17,13.6,6:46,9.9
"		165",목포,2011.10.14,15.6,18.4,2:05,13.7,7:21,4.7
"		165",목포,2011.10.15,17.1,21,14:19,13.5,6:08,7.5
"		165",목포,2011.10.16,16.8,19.9,13:18,15.3,0:32,4.6
"		165",목포,2011.10.17,15.4,20.2,12:13,11.4,23:51,8.8
"		165",목포,2011.10.18,11.8,17.1,14:22,6.8,7:03,10.3
"		165",목포,2011.10.19,14.1,21.5,13:13,8,6:31,13.5
"		165",목포,2011.10.20,16.7,23.2,13:41,12.9,1:14,10.3
"		165",목포,2011.10.21,17.1,21.3,13:33,13.5,5:53,7.8
"		165",목포,2011.10.22,16.8,21,12:36,14.1,23:37,6.9
"		165",목포,2011.10.23,15.8,18.9,16:23,12.7,1:17,6.2
"		165",목포,2011.10.24,14.2,15.8,0:04,11.9,22:35,3.9
"		165",목포,2011.10.25,10.4,14.1,13:05,6.8,21:17,7.3
"		165",목포,2011.10.26,10.1,16.7,15:38,5.2,7:16,11.5
"		165",목포,2011.10.27,13.1,19.5,13:15,7.2,5:34,12.3
"		165",목포,2011.10.28,14.4,20.1,12:40,10.8,7:25,9.3
"		165",목포,2011.10.29,14.1,18.5,13:08,11.4,23:52,7.1
"		165",목포,2011.10.30,14,18.5,12:16,11.1,2:49,7.4
"		165",목포,2011.10.31,14.7,21.1,14:11,9.5,4:30,11.6
"		165",목포,2011.11.1,17,23.4,13:50,11.5,7:23,11.9
"		165",목포,2011.11.2,16.8,19.6,15:35,14.8,7:59,4.8
"		165",목포,2011.11.3,19.4,25.3,15:34,14.8,5:04,10.5
"		165",목포,2011.11.4,20.2,24.5,14:25,16.6,7:00,7.9
"		165",목포,2011.11.5,18,20.7,13:12,16.4,7:12,4.3
"		165",목포,2011.11.6,17,18.9,14:45,15.6,20:12,3.3
"		165",목포,2011.11.7,16,19.1,12:38,14.3,23:58,4.8
"		165",목포,2011.11.8,14.8,18.1,12:20,12.9,22:18,5.2
"		165",목포,2011.11.9,14.3,17.5,14:06,12.6,6:02,4.9
"		165",목포,2011.11.10,14.7,16.4,13:55,13.2,0:03,3.2
"		165",목포,2011.11.11,11.9,15,13:59,10.6,5:27,4.4
"		165",목포,2011.11.12,12.8,16.4,13:07,10.1,0:23,6.3
"		165",목포,2011.11.13,12.8,17.1,13:24,10.3,23:14,6.8
"		165",목포,2011.11.14,9.9,13.3,14:30,6.4,23:38,6.9
"		165",목포,2011.11.15,9.8,15.4,15:08,5.1,6:22,10.3
"		165",목포,2011.11.16,12.1,18.2,14:55,6.4,7:18,11.8
"		165",목포,2011.11.17,13.7,16.4,11:38,10.2,6:21,6.2
"		165",목포,2011.11.18,17.4,20.3,14:06,14.3,0:02,6
"		165",목포,2011.11.19,12.3,18.3,0:49,8.6,23:56,9.7
"		165",목포,2011.11.20,6.3,8.8,0:04,4.6,21:09,4.2
"		165",목포,2011.11.21,5.5,10.9,14:09,2.1,6:57,8.8
"		165",목포,2011.11.22,6.4,9.5,15:58,1.2,6:25,8.3
"		165",목포,2011.11.23,8,12.4,4:12,4,18:08,8.4
"		165",목포,2011.11.24,4.5,8,13:44,1.4,23:09,6.6
"		165",목포,2011.11.25,5.4,10.7,15:31,0.5,6:31,10.2
"		165",목포,2011.11.26,8.4,14.3,14:22,2.8,5:45,11.5
"		165",목포,2011.11.27,12.8,19.4,14:20,7.7,6:07,11.7
"		165",목포,2011.11.28,13.4,20.1,15:04,10,3:48,10.1
"		165",목포,2011.11.29,12.3,19.1,14:28,8.4,7:10,10.7
"		165",목포,2011.11.30,10.1,11.8,6:44,8.3,23:15,3.5
"		165",목포,2011.12.1,7.5,9.3,13:46,6.5,9:19,2.8
"		165",목포,2011.12.2,7.7,10.8,14:28,5.8,7:17,5
"		165",목포,2011.12.3,8.1,11,12:23,5.4,7:14,5.6
"		165",목포,2011.12.4,6.9,8.6,10:56,3.9,23:55,4.7
"		165",목포,2011.12.5,4.9,9.9,14:27,1.7,7:27,8.2
"		165",목포,2011.12.6,6.2,10.1,13:34,4.4,1:54,5.7
"		165",목포,2011.12.7,6.7,9.9,14:08,3.7,1:51,6.2
"		165",목포,2011.12.8,4.1,6.9,0:42,0.3,21:47,6.6
"		165",목포,2011.12.9,1.4,3.2,12:24,-0.4,22:41,3.6
"		165",목포,2011.12.10,2.2,4.7,23:36,-1.7,7:32,6.4
"		165",목포,2011.12.11,5.2,6.1,15:01,4.5,0:03,1.6
"		165",목포,2011.12.12,6.8,9.5,15:21,3,23:45,6.5
"		165",목포,2011.12.13,4.5,10.2,15:26,0.9,3:42,9.3
"		165",목포,2011.12.14,5.8,10.4,15:46,0.6,2:44,9.8
"		165",목포,2011.12.15,2.4,6.7,0:01,-1.1,23:21,7.8
"		165",목포,2011.12.16,-1.4,1.3,4:26,-3.5,7:27,4.8
"		165",목포,2011.12.17,-0.7,2.8,12:55,-2.8,7:14,5.6
"		165",목포,2011.12.18,2.2,5.9,12:37,-1,1:07,6.9
"		165",목포,2011.12.19,2.1,6.7,14:47,-1.7,6:10,8.4
"		165",목포,2011.12.20,2.4,6.4,13:05,-1.1,2:43,7.5
"		165",목포,2011.12.21,4.3,6.6,14:50,1.5,3:07,5.1
"		165",목포,2011.12.22,0.5,5.3,2:07,-2.9,23:05,8.2
"		165",목포,2011.12.23,-1.6,2.6,13:56,-4.9,7:28,7.5
"		165",목포,2011.12.24,-0.8,3.1,11:58,-2.9,4:39,6
"		165",목포,2011.12.25,-1.3,1.7,13:42,-3.9,7:45,5.6
"		165",목포,2011.12.26,-1.7,1.7,14:55,-4.5,7:34,6.2
"		165",목포,2011.12.27,-0.5,4.8,14:48,-3.8,5:13,8.6
"		165",목포,2011.12.28,1.1,6.4,14:32,-2.6,0:34,9
"		165",목포,2011.12.29,1.2,5.4,13:00,-1.4,23:55,6.8
"		165",목포,2011.12.30,-0.4,4.2,12:34,-3.4,7:43,7.6
